frame,host_seconds,emulated_seconds
1,0.005550800,0.017262720173
2,0.032566200,0.034525440345
3,0.036451100,0.051788160518
4,0.052946200,0.069050880691
5,0.070744600,0.086313600863
6,0.087232000,0.103576321036
7,0.106002300,0.120839041208
8,0.123272600,0.138101761381
9,0.139607200,0.155364481554
10,0.156570500,0.172627201726
11,0.174159400,0.189889921899
12,0.191190400,0.207152642072
13,0.208764000,0.224415362244
14,0.226462400,0.241678082417
15,0.243353500,0.258940802589
16,0.260469400,0.276203522762
17,0.277573600,0.293466242935
18,0.299750600,0.310728963107
19,0.312774100,0.327991683280
20,0.330170700,0.345254403453
21,0.346846600,0.362517123625
22,0.364022200,0.379779843798
23,0.381165500,0.397042563970
24,0.398340300,0.414305284143
25,0.415779500,0.431568004316
26,0.433052200,0.448830724488
27,0.450403900,0.466093444661
28,0.467405100,0.483356164834
29,0.484862200,0.500618885006
30,0.501933300,0.517881605179
31,0.519266000,0.535144325351
32,0.536281300,0.552407045524
33,0.554245100,0.569669765697
34,0.572034800,0.586932485869
35,0.588226700,0.604195206042
36,0.605793000,0.621457926215
37,0.622598500,0.638720646387
38,0.641196300,0.655983366560
39,0.659623700,0.673246086732
40,0.676170500,0.690508806905
41,0.692204700,0.707771527078
42,0.709792700,0.725034247250
43,0.726795700,0.742296967423
44,0.743624100,0.759559687596
45,0.761837100,0.776822407768
46,0.780309200,0.794085127941
47,0.799129000,0.811347848113
48,0.816400600,0.828610568286
49,0.832084200,0.845873288459
50,0.847580500,0.863136008631
51,0.864818700,0.880398728804
52,0.881914700,0.897661448977
53,0.899961500,0.914924169149
54,0.917316400,0.932186889322
55,0.935475000,0.949449609494
56,0.952237900,0.966712329667
57,0.969183800,0.983975049840
58,0.985491600,1.001237770012
59,1.004359200,1.018500490185
60,1.020188700,1.035763210358
61,1.037220700,1.053025930530
62,1.054674000,1.070288650703
63,1.073058800,1.087551370876
64,1.090360600,1.104814091048
65,1.107642600,1.122076811221
66,1.123550800,1.139339531393
67,1.141735500,1.156602251566
68,1.158315100,1.173864971739
69,1.175328400,1.191127691911
70,1.192626700,1.208390412084
71,1.211554700,1.225653132257
72,1.229126300,1.242915852429
73,1.245598300,1.260178572602
74,1.263332200,1.277441292774
75,1.281080400,1.294704012947
76,1.296944300,1.311966733120
77,1.317260100,1.329229453292
78,1.330938000,1.346492173465
79,1.347963100,1.363754893638
80,1.365165100,1.381017613810
81,1.382401600,1.398280333983
82,1.399610000,1.415543054155
83,1.416951400,1.432805774328
84,1.434260000,1.450068494501
85,1.451498500,1.467331214673
86,1.469323500,1.484593934846
87,1.486177000,1.501856655019
88,1.503374500,1.519119375191
89,1.522223600,1.536382095364
90,1.537816000,1.553644815536
91,1.555177300,1.570907535709
92,1.572253400,1.588170255882
93,1.589568300,1.605432976054
94,1.606819100,1.622695696227
95,1.624019800,1.639958416400
96,1.641609000,1.657221136572
97,1.658697600,1.674483856745
98,1.675828600,1.691746576917
99,1.693243000,1.709009297090
100,1.710531100,1.726272017263
101,1.727758000,1.743534737435
102,1.744986500,1.760797457608
103,1.762081600,1.778060177781
104,1.779506700,1.795322897953
105,1.796803000,1.812585618126
106,1.814010800,1.829848338298
107,1.831130600,1.847111058471
108,1.848540800,1.864373778644
109,1.865804100,1.881636498816
110,1.883460900,1.898899218989
111,1.900730900,1.916161939162
112,1.917720600,1.933424659334
113,1.936515400,1.950687379507
114,1.952830200,1.967950099680
115,1.969324600,1.985212819852
116,1.986963300,2.002475540025
117,2.003883300,2.019738260197
118,2.021009700,2.037000980370
119,2.038403900,2.054263700543
120,2.055597800,2.071526420715
121,2.073065000,2.088789140888
122,2.090199200,2.106051861061
123,2.108042400,2.123314581233
124,2.125529500,2.140577301406
125,2.142523100,2.157840021578
126,2.160252200,2.175102741751
127,2.177524100,2.192365461924
128,2.194598400,2.209628182096
129,2.211687800,2.226890902269
130,2.228965300,2.244153622442
131,2.247407000,2.261416342614
132,2.264972300,2.278679062787
133,2.281038700,2.295941782959
134,2.297331200,2.313204503132
135,2.315116300,2.330467223305
136,2.331879400,2.347729943477
137,2.349115800,2.364992663650
138,2.366623300,2.382255383823
139,2.384095000,2.399518103995
140,2.401853700,2.416780824168
141,2.419433900,2.434043544340
142,2.435770500,2.451306264513
143,2.453909900,2.468568984686
144,2.470136100,2.485831704858
145,2.487034900,2.503094425031
146,2.504762600,2.520357145204
147,2.521676300,2.537619865376
148,2.538998300,2.554882585549
149,2.556412400,2.572145305721
150,2.573651400,2.589408025894
151,2.591127900,2.606670746067
152,2.608065000,2.623933466239
153,2.625339500,2.641196186412
154,2.642473900,2.658458906585
155,2.659929200,2.675721626757
156,2.676959700,2.692984346930
157,2.694576700,2.710247067102
158,2.711356900,2.727509787275
159,2.729618000,2.744772507448
160,2.747327300,2.762035227620
161,2.763896000,2.779297947793
162,2.781577700,2.796560667966
163,2.798655600,2.813823388138
164,2.816221000,2.831086108311
165,2.832262600,2.848348828483
166,2.849500400,2.865611548656
167,2.867200300,2.882874268829
168,2.883870600,2.900136989001
169,2.901550900,2.917399709174
170,2.918877900,2.934662429347
171,2.936046300,2.951925149519
172,2.953004400,2.969187869692
173,2.970701200,2.986450589865
174,2.987621600,3.003713310037
175,3.005197400,3.020976030210
176,3.024467200,3.038238750382
177,3.041678100,3.055501470555
178,3.059291000,3.072764190728
179,3.076388800,3.090026910900
180,3.093197800,3.107289631073
181,3.110428000,3.124552351246
182,3.128493500,3.141815071418
183,3.145387900,3.159077791591
184,3.162799900,3.176340511763
185,3.180106800,3.193603231936
186,3.197405200,3.210865952109
187,3.217071200,3.228128672281
188,3.231693500,3.245391392454
189,3.246333500,3.262654112627
190,3.263512000,3.279916832799
191,3.280794100,3.297179552972
192,3.298202100,3.314442273144
193,3.315556100,3.331704993317
194,3.332571700,3.348967713490
195,3.349913000,3.366230433662
196,3.369304100,3.383493153835
197,3.384481600,3.400755874008
198,3.402558200,3.418018594180
199,3.419125200,3.435281314353
200,3.436104400,3.452544034525
201,3.454185400,3.469806754698
202,3.470663200,3.487069474871
203,3.488034200,3.504332195043
204,3.505186200,3.521594915216
205,3.523328000,3.538857635389
206,3.540381700,3.556120355561
207,3.557403600,3.573383075734
208,3.575640800,3.590645795906
209,3.592366300,3.607908516079
210,3.609583900,3.625171236252
211,3.627386400,3.642433956424
212,3.645153200,3.659696676597
213,3.661535700,3.676959396770
214,3.678836800,3.694222116942
215,3.696157000,3.711484837115
216,3.713450100,3.728747557287
217,3.730838700,3.746010277460
218,3.747844900,3.763272997633
219,3.765037700,3.780535717805
220,3.782310300,3.797798437978
221,3.799628000,3.815061158151
222,3.816133000,3.832323878323
223,3.833445500,3.849586598496
224,3.850577600,3.866849318668
