frame,width,height,batches,vertices,clears,snapshot,color_differences,depth_differences,mirror_us,snapshot_us
107,2736,4096,12,3890280,5,0,0,0,3.400,0.000
108,2736,4096,12,3890280,5,0,0,0,3.400,0.000
109,2736,4096,12,3890280,5,0,0,0,3.400,0.000
110,2736,4096,12,3890280,5,0,0,0,3.400,0.000
111,2736,4096,12,3890280,5,0,0,0,3.400,0.000
112,2736,4096,12,3890280,5,0,0,0,3.400,0.000
113,2736,4096,12,3890280,5,0,0,0,3.400,0.000
114,2736,4096,12,3890280,5,0,0,0,3.400,0.000
115,2736,4096,12,3890280,5,0,0,0,3.400,0.000
116,2736,4096,12,3890280,5,0,0,0,3.400,0.000
117,2736,4096,12,3890280,5,0,0,0,3.400,0.000
118,2736,4096,12,3890280,5,0,0,0,3.400,0.000
119,2736,4096,12,3890280,5,0,0,0,3.400,0.000
120,2736,4096,12,3890280,5,0,0,0,3.400,0.000
121,2736,4096,12,3890280,5,0,0,0,3.400,0.000
122,2736,4096,12,3890280,5,0,0,0,3.400,0.000
123,2736,4096,12,3890280,5,0,0,0,3.400,0.000
124,2736,4096,12,3890280,5,0,0,0,3.400,0.000
125,2736,4096,12,3890280,5,0,0,0,3.400,0.000
126,2736,4096,12,3890280,5,0,0,0,3.400,0.000
127,2736,4096,12,3890280,5,0,0,0,3.400,0.000
128,2736,4096,12,3890280,5,0,0,0,3.400,0.000
129,2736,4096,12,3890280,5,0,0,0,3.400,0.000
130,2736,4096,12,3890280,5,0,0,0,3.400,0.000
131,2736,4096,12,3890280,5,0,0,0,3.400,0.000
132,2736,4096,12,3890280,5,0,0,0,3.400,0.000
133,2736,4096,12,3890280,5,0,0,0,3.400,0.000
134,2736,4096,12,3890280,5,0,0,0,3.400,0.000
135,2736,4096,12,3890280,5,0,0,0,3.400,0.000
136,2736,4096,12,3890280,5,0,0,0,3.400,0.000
137,2736,4096,12,3890280,5,0,0,0,3.400,0.000
138,2736,4096,12,3890280,5,0,0,0,3.400,0.000
139,2736,4096,12,3890280,5,0,0,0,3.400,0.000
