frame,cpu_frame,cpu_time,device_time,multiplier,sources,instances,quads,viewport,hash,source_us,assembly_us,hash_us,snapshot_us,guest_cycles,scene,scene_frame,scene_time,bounds,culled_bounds,materials_us
3500,3500,61.276243366054,61.276255932721,3,7147,19,173,0,5da1d15448177cbc,1573.200,4312.700,38.400,1.000,0,2117,3500,61.276213399387,1,2700,54702.200
3501,3501,61.293745799387,61.293758366054,3,7147,19,173,0,65de35752bdba52d,1847.100,4347.200,38.300,0.500,0,2118,3501,61.293715832720,1,2700,1296.800
3502,3502,61.311248399387,61.311260966054,3,7147,19,173,0,ef15e3feea5361d3,1356.500,4137.000,38.300,0.300,0,2119,3502,61.311218432720,1,2700,1373.500
3503,3503,61.328751066053,61.328763632720,3,7147,19,173,0,c3c2363c03f252b6,1391.400,4091.100,48.300,0.300,0,2120,3503,61.328721099387,1,2700,1351.400
3504,3504,61.346253299387,61.346265866053,3,7147,19,173,0,0e4ee00e2fccf4eb,1402.400,4064.100,38.300,0.300,0,2121,3504,61.346223332720,1,2700,1222.300
3505,3505,61.363755766053,61.363768332720,3,7147,19,173,0,e7c4153e10706596,1352.900,4046.600,38.300,0.300,0,2122,3505,61.363725799386,1,2700,1247.400
3506,3506,61.381258199386,61.381270766053,3,7147,19,173,0,d848a7e7f2786eab,1397.500,4156.900,38.300,0.500,0,2123,3506,61.381228232720,1,2700,1252.400
3507,3507,61.398760632719,61.398773199386,3,7147,19,173,0,fb9f1181847c1335,1364.600,4119.100,38.300,0.600,0,2124,3507,61.398730666053,1,2700,1408.100
3508,3508,61.416263232719,61.416275799386,3,7147,19,173,0,4d2690e754fe5d3b,1387.700,4206.700,38.400,0.500,0,2125,3508,61.416233266053,1,2700,1363.600
3509,3509,61.433765566052,61.433778132719,3,7147,19,173,0,8ecad26ba6124edc,1372.000,4093.200,38.300,0.400,0,2126,3509,61.433735599386,1,2700,1307.800
3510,3510,61.451268099385,61.451280666052,3,7147,19,173,0,4a364318d9ff4322,1371.500,4236.900,38.700,0.600,0,2127,3510,61.451238132719,1,2700,1227.200
3511,3511,61.468770932719,61.468783499385,3,7147,19,173,0,7683aaeba9638ad5,1380.800,4198.300,38.900,0.600,0,2128,3511,61.468740966052,1,2700,1274.000
3512,3512,61.486273699385,61.486286266052,3,7147,19,173,0,55e76d4b01001387,1352.700,4041.000,38.300,0.300,0,2129,3512,61.486243732718,1,2700,1318.800
3513,3513,61.503775532718,61.503788099385,3,7147,19,173,0,ee1c09fc1772c04e,1354.100,4293.100,38.300,0.300,0,2130,3513,61.503745566052,1,2700,1302.700
3514,3514,61.521277999385,61.521290566051,3,7147,19,173,0,5d8d6ed2318b22fe,1345.400,4085.700,38.300,0.200,0,2131,3514,61.521248032718,1,2700,1319.300
3515,3515,61.538780466051,61.538793032718,3,7147,19,173,0,92f253fff2ca1d7e,1411.400,4162.500,38.400,0.400,0,2132,3515,61.538750499385,1,2700,1283.000
3516,3516,61.556282999384,61.556295566051,3,7147,19,173,0,c6350a476e9f983a,1354.000,4163.100,38.400,0.400,0,2133,3516,61.556253032718,1,2700,1374.700
3517,3517,61.573785332718,61.573797899384,3,7147,19,173,0,7b1a9b68f25a3f8b,1363.500,4125.800,38.300,0.400,0,2134,3517,61.573755366051,1,2700,1321.700
3518,3518,61.591287832717,61.591300399384,3,7147,19,173,0,791b7f35fec9cd82,1363.300,4336.300,47.700,0.400,0,2135,3518,61.591257866051,1,2700,1248.200
3519,3519,61.608790666051,61.608803232717,3,7147,19,173,0,e861e4721f096ce1,1346.600,4295.000,38.300,0.500,0,2136,3519,61.608760699384,1,2700,1386.400
3520,3520,61.626292866050,61.626305432717,3,7147,19,173,0,b014a22cd4d81999,1350.600,4206.300,38.300,0.600,0,2137,3520,61.626262899384,1,2700,1391.600
3521,3521,61.643795366050,61.643807932717,3,7147,19,173,0,68b31dccda9fadbc,1351.100,4152.200,38.400,0.400,0,2138,3521,61.643765399384,1,2700,1267.300
3522,3522,61.661297799383,61.661310366050,3,7147,19,173,0,784f4791463f7064,1403.500,4285.600,38.300,0.500,0,2139,3522,61.661267832717,1,2700,1333.800
3523,3523,61.678800266050,61.678812832717,3,7147,19,173,0,6eec98fd56b37e82,1391.100,4156.800,38.300,0.400,0,2140,3523,61.678770299383,1,2700,1265.200
3524,3524,61.696302699383,61.696315266050,3,7147,19,173,0,51a0c20038811827,1421.700,4344.500,38.300,0.500,0,2141,3524,61.696272732716,1,2700,1227.300
3525,3525,61.713805166050,61.713817732716,3,7147,19,173,0,6724c5b5cd3cef35,1385.800,4355.900,38.300,0.500,0,2142,3525,61.713775199383,1,2700,1290.200
3526,3526,61.731307699383,61.731320266049,3,7147,19,173,0,bd38ac1641e8564d,1456.300,4216.400,42.900,0.500,0,2143,3526,61.731277732716,1,2700,1274.000
3527,3527,61.748810532716,61.748823099383,3,7147,19,173,0,3bb708005e51906b,1387.000,4068.200,75.100,0.700,0,2144,3527,61.748780566049,1,2700,1528.600
3528,3528,61.766312632716,61.766325199382,3,7147,19,173,0,04eb118edadea7eb,1387.900,4148.900,38.400,0.500,0,2145,3528,61.766282666049,1,2700,1471.700
3529,3529,61.783815099382,61.783827666049,3,7147,19,173,0,a7f232ad304f8521,1372.000,4084.000,38.300,0.400,0,2146,3529,61.783785132715,1,2700,1234.700
3530,3530,61.801317499382,61.801330066049,3,7147,19,173,0,f605a7cf4092b3d1,1390.000,4154.500,38.300,0.500,0,2147,3530,61.801287532715,1,2700,1304.500
3531,3531,61.818820066048,61.818832632715,3,7147,19,173,0,c7033f26d578f777,1366.100,4128.400,38.300,0.500,0,2148,3531,61.818790099382,1,2700,1322.300
3532,3532,61.836322466048,61.836335032715,3,7147,19,173,0,5a672defe9762caf,1373.600,4128.600,38.400,0.400,0,2149,3532,61.836292499382,1,2700,1331.700
3533,3533,61.853824866048,61.853837432715,3,7147,19,173,0,0535fdd8b6499dbd,1453.600,4148.600,38.800,0.500,0,2150,3533,61.853794899381,1,2700,1313.200
3534,3534,61.871327332715,61.871339899381,3,7147,19,173,0,0ef82be9bdf6df65,1445.500,4121.000,38.400,0.500,0,2151,3534,61.871297366048,1,2700,1326.200
3535,3535,61.888830232714,61.888842799381,3,7147,19,173,0,d455d9931ed7e7c3,1361.300,4041.400,38.300,0.400,0,2152,3535,61.888800266048,1,2700,1281.600
3536,3536,61.906332332714,61.906344899381,3,7147,19,173,0,732dce47ae5f2ab3,1341.300,4134.100,38.400,0.400,0,2153,3536,61.906302366048,1,2700,1307.500
3537,3537,61.923834766047,61.923847332714,3,7147,19,173,0,627ab47732724fc9,1446.400,4263.100,38.300,0.600,0,2154,3537,61.923804799381,1,2700,1259.500
3538,3538,61.941337366047,61.941349932714,3,7147,19,173,0,6cceaaf7b5c83f69,1334.500,4106.000,38.300,0.500,0,2155,3538,61.941307399381,1,2700,1283.400
3539,3539,61.958839699380,61.958852266047,3,7147,19,173,0,3426825bb1b55d4f,1697.400,4188.500,38.300,0.600,0,2156,3539,61.958809732714,1,2700,1396.200
3540,3540,61.976342299380,61.976354866047,3,7147,19,173,0,e2afeca480c694b7,1354.800,4054.100,38.300,0.300,0,2157,3540,61.976312332714,1,2700,1364.200
3541,3541,61.993844732713,61.993857299380,3,7147,19,173,0,19bd8c2e3f359885,1379.600,4039.700,38.300,0.300,0,2158,3541,61.993814766047,1,2700,1269.300
3542,3542,62.011347132713,62.011359699380,3,7147,19,173,0,9faf383bf7d5ad1d,1322.900,4106.800,43.400,1.300,0,2159,3542,62.011317166047,1,2700,1226.100
3543,3543,62.028850166046,62.028862732713,3,7147,19,173,0,3462dd90dc33d69b,1436.900,4109.100,38.300,0.300,0,2160,3543,62.028820199380,1,2700,1296.300
3544,3544,62.046352132713,62.046364699380,3,7147,19,173,0,feef805a16b37fdb,1374.300,4107.500,38.300,0.400,0,2161,3544,62.046322166046,1,2700,1313.200
3545,3545,62.063854532713,62.063867099379,3,7147,19,173,0,367e5df87b5a6a91,1338.300,4219.700,38.300,0.400,0,2162,3545,62.063824566046,1,2700,1259.000
3546,3546,62.081357066046,62.081369632713,3,7147,19,173,0,78d4093eca504141,1413.200,4260.200,38.300,0.500,0,2163,3546,62.081327099379,1,2700,1238.900
3547,3547,62.098859599379,62.098872166046,3,7147,19,173,0,756762f9fce0c387,1347.700,4196.000,38.300,0.300,0,2164,3547,62.098829632712,1,2700,1234.600
3548,3548,62.116361966046,62.116374532712,3,7147,19,173,0,f433da2446bd5aff,1406.300,4190.100,38.300,0.300,0,2165,3548,62.116331999379,1,2700,1228.800
3549,3549,62.133872132712,62.133884699379,3,7147,19,173,0,411774bff3c343cd,1429.200,4142.900,38.300,0.400,0,2166,3549,62.133842166045,1,2700,1239.000
3550,3550,62.151367032712,62.151379599378,3,7147,19,173,0,be1170297a4aa8b5,1407.000,4222.400,38.300,0.300,0,2167,3550,62.151337066045,1,2700,1256.500
3551,3551,62.168869699378,62.168882266045,3,7147,19,173,0,507710c52be5c473,1343.500,4130.600,38.300,0.500,0,2168,3551,62.168839732712,1,2700,1378.000
3552,3552,62.186371899378,62.186384466045,3,7147,19,173,0,42ff50db3cd35b63,1412.500,4149.200,38.400,0.500,0,2169,3552,62.186341932711,1,2700,1258.900
3553,3553,62.203874432711,62.203886999378,3,7147,19,173,0,adf1a4a28a344f79,1354.900,4092.900,38.300,0.400,0,2170,3553,62.203844466045,1,2700,1270.000
3554,3554,62.221376832711,62.221389399378,3,7147,19,173,0,4dab5241d786dd99,1359.600,4067.600,38.300,0.400,0,2171,3554,62.221346866044,1,2700,1282.500
3555,3555,62.238879232711,62.238891799378,3,7147,19,173,0,ade3213be361ef9f,1360.300,4230.100,38.300,0.600,0,2172,3555,62.238849266044,1,2700,1883.100
3556,3556,62.256381766044,62.256394332711,3,7147,19,173,0,ecc922e77399af07,1366.000,4073.800,38.300,0.300,0,2173,3556,62.256351799377,1,2700,1266.000
3557,3557,62.273884299377,62.273896866044,3,7147,19,173,0,5ae12e5a5eceb115,1359.200,4086.300,38.300,0.400,0,2174,3557,62.273854332711,1,2700,1312.200
3558,3558,62.291386666044,62.291399232710,3,7147,19,173,0,17b1682137901bad,1352.200,4053.200,38.300,0.400,0,2175,3558,62.291356699377,1,2700,1416.400
3559,3559,62.308889699377,62.308902266044,3,7147,19,173,0,0a833753dfa2224b,1361.000,4152.300,38.300,0.200,0,2176,3559,62.308859732710,1,2700,1379.600
3560,3560,62.326391599377,62.326404166043,3,7147,19,173,0,b4564a508ba6ec4b,1347.500,4083.600,38.300,0.600,0,2177,3560,62.326361632710,1,2700,1405.400
3561,3561,62.343894132710,62.343906699377,3,7147,19,173,0,5d7d303e33172c81,1345.500,4339.300,38.400,0.400,0,2178,3561,62.343864166043,1,2700,1309.900
3562,3562,62.361396666043,62.361409232710,3,7147,19,173,0,9565e425a9d67ff1,1353.400,4329.400,38.300,0.400,0,2179,3562,62.361366699376,1,2700,1277.200
3563,3563,62.378899032710,62.378911599376,3,7147,19,173,0,6fa3188640205a17,1342.700,4128.400,38.300,0.300,0,2180,3563,62.378869066043,1,2700,1256.600
3564,3564,62.396401532709,62.396414099376,3,7147,19,173,0,30d2f5559c6a8ccf,1393.800,4136.100,38.300,0.400,0,2181,3564,62.396371566043,1,2700,1242.000
3565,3565,62.413903999376,62.413916566043,3,7147,19,173,0,0763640c59b8af1d,1346.000,4200.100,38.500,0.300,0,2182,3565,62.413874032709,1,2700,1285.300
3566,3566,62.431406432709,62.431418999376,3,7147,19,173,0,aec8963829223c05,1414.500,4343.300,38.300,0.300,0,2183,3566,62.431376466042,1,2700,1216.800
3567,3567,62.448909332709,62.448921899376,3,7147,19,173,0,6cff39d7639c06e3,1440.300,4198.000,38.400,0.400,0,2184,3567,62.448879366042,1,2700,1237.600
3568,3568,62.466411499375,62.466424066042,3,7147,19,173,0,716e59f743d13f53,1347.500,4301.000,38.400,0.500,0,2185,3568,62.466381532709,1,2700,1427.300
3569,3569,62.483913832708,62.483926399375,3,7147,19,173,0,8ac9c96c196b30e9,1472.500,4277.100,38.400,1.000,0,2186,3569,62.483883866042,1,2700,1284.000
3570,3570,62.501416432708,62.501428999375,3,7147,19,173,0,44b92e8a3d7cea09,1382.200,4150.200,38.300,0.400,0,2187,3570,62.501386466042,1,2700,1224.200
3571,3571,62.518918866041,62.518931432708,3,7147,19,173,0,3eddf7eaa181baef,1374.600,4130.400,38.600,0.500,0,2188,3571,62.518888899375,1,2700,1248.200
3572,3572,62.536421266041,62.536433832708,3,7147,19,173,0,f6350d35f5200297,1370.500,4129.800,38.300,0.900,0,2189,3572,62.536391299375,1,2700,1250.200
3573,3573,62.553923866041,62.553936432708,3,7147,19,173,0,f552dcfa76bd72e5,1366.700,4179.600,38.400,0.200,0,2190,3573,62.553893899374,1,2700,1220.000
3574,3574,62.571426266041,62.571438832708,3,7147,19,173,0,7e79b1e1345748fd,1340.000,4079.500,38.300,0.400,0,2191,3574,62.571396299374,1,2700,1304.300
3575,3575,62.588929166041,62.588941732707,3,7147,19,173,0,73b404704386d97b,1357.400,4237.500,38.300,0.300,0,2192,3575,62.588899199374,1,2700,1229.700
3576,3576,62.606431132707,62.606443699374,3,7147,19,173,0,a9e493f9087af8bb,1482.700,4178.400,38.300,0.700,0,2193,3576,62.606401166041,1,2700,1457.200
3577,3577,62.623933732707,62.623946299374,3,7147,19,173,0,16a418b5528d9671,1345.200,4161.800,38.300,0.300,0,2194,3577,62.623903766040,1,2700,1263.100
3578,3578,62.641436166040,62.641448732707,3,7147,19,173,0,608a54d58df806e1,1328.100,4144.800,38.400,1.100,0,2195,3578,62.641406199374,1,2700,1549.500
