frame,cpu_frame,cpu_time,device_time,multiplier,sources,instances,quads,viewport,hash,source_us,assembly_us,hash_us,snapshot_us,guest_cycles,scene,scene_frame,scene_time,bounds,culled_bounds,materials_us
3501,3501,61.293801432720,61.293805532720,2,4286,713,5313,5209,c0358b105831d4db,1258.700,3946.200,1181.500,0.900,0,2112,3501,61.293717199387,1,566,56355.700
3502,3502,61.311303899387,61.311307999387,2,4286,712,5302,5190,a8c27189a65792ae,1048.800,3696.800,1174.700,0.600,0,2113,3502,61.311219666054,1,566,1327.600
3503,3503,61.328806699387,61.328810799387,2,4286,712,5292,5179,06ef05c57c8662b9,1038.300,3909.100,1172.700,0.600,0,2114,3503,61.328722466053,1,564,1339.000
3504,3504,61.346308866053,61.346312966053,2,4286,709,5263,5150,7b1832b11247a934,1013.100,3582.300,1177.800,0.700,0,2115,3504,61.346224632720,1,565,1368.200
3505,3505,61.363814566053,61.363818666053,2,4286,708,5255,5123,e66e545d76712316,1020.500,3724.000,1173.600,1.000,0,2116,3505,61.363727166053,1,565,1673.900
3506,3506,61.381320932720,61.381325032720,2,4286,706,5250,5108,18b934ef1bea0775,1082.400,3673.200,1163.900,0.700,0,2117,3506,61.381229532720,1,565,1295.900
3507,3507,61.398823466053,61.398827566053,2,4286,703,5233,5087,caf131cff029def8,1055.500,3798.700,1170.700,0.600,0,2118,3507,61.398732066053,1,564,1476.500
3508,3508,61.416327966052,61.416332066053,2,4286,700,5226,5065,1385d14790c489e0,1026.800,3690.800,1164.100,0.500,0,2119,3508,61.416234566053,1,564,1522.100
3509,3509,61.433830332719,61.433834432719,2,4286,696,5192,5040,6726c1b634f2ba0c,1167.700,3760.300,1174.200,0.600,0,2120,3509,61.433736932719,1,566,1387.700
3510,3510,61.451334932719,61.451339032719,2,4286,694,5175,5016,71607f38d942b20a,993.500,3607.500,1158.100,0.900,0,2121,3510,61.451239532719,1,566,1973.800
3512,3512,61.486341832718,61.486345932718,2,4286,690,5119,4962,f5266d840149860a,1141.500,3551.600,1148.800,0.500,0,2122,3512,61.486244432718,1,564,1587.700
3513,3513,61.503844366052,61.503848466052,2,4286,689,5097,4933,a907bce7ef8758f0,965.900,3677.900,1137.400,1.000,0,2123,3513,61.503746966052,1,561,1660.700
3514,3514,61.521346732718,61.521350832718,2,4286,683,5023,4907,e5f7bcc5390cc26b,1039.600,3736.700,1135.100,0.500,0,2124,3514,61.521249332718,1,563,1406.400
3515,3515,61.538846932718,61.538851032718,2,4286,555,3911,3779,b0d700c5e8e7f19f,997.000,3175.900,866.700,0.900,0,2125,3515,61.538751866051,1,563,1433.400
3516,3516,61.556349399384,61.556353499384,2,4286,553,3892,3751,bbdc036d8d34cbd7,1090.700,3135.800,863.800,0.900,0,2126,3516,61.556254332718,1,563,2222.800
3517,3517,61.573787232718,61.573799799384,2,4286,548,3891,3721,377c2ad15f111f63,1155.200,3161.800,866.500,0.600,0,2127,3517,61.573756832718,1,564,1340.700
3518,3518,61.591289599384,61.591302266051,2,4286,545,3881,3690,f465a28ea45626a0,1166.600,3180.500,859.900,0.600,0,2128,3518,61.591259199384,1,564,1354.800
3519,3519,61.608839132717,61.608843232717,2,4286,540,3913,3665,b78f17eaaf0665e7,1150.900,3093.200,866.500,0.900,0,2129,3519,61.608762066051,1,564,1787.600
3520,3520,61.626294566050,61.626307232717,2,4286,535,3803,3639,b8c16c9ef1350735,1172.100,3168.100,848.000,0.600,0,2130,3520,61.626264166050,1,567,1333.500
3521,3521,61.643843732717,61.643847832717,2,4286,535,3813,3618,0a0721c340e34979,1200.900,3085.900,844.500,0.700,0,2131,3521,61.643766666050,1,567,1486.200
3522,3522,61.661346232717,61.661350332717,2,4286,532,3792,3588,68b1c42c295a3abe,1209.300,3254.500,847.800,0.600,0,2132,3522,61.661269166050,1,568,1437.400
3523,3523,61.678848666050,61.678852766050,2,4286,529,3742,3561,7a66bcc4c054ef16,1188.000,3063.800,828.000,0.600,0,2133,3523,61.678771599383,1,568,1348.000
3524,3524,61.696351199383,61.696355299383,2,4286,526,3714,3538,142ad6d2425ba775,1192.900,3118.400,832.100,0.800,0,2134,3524,61.696274132716,1,570,1654.200
3525,3525,61.713855899383,61.713859999383,2,4286,526,3723,3520,14ffef00060ebb00,1263.700,3091.600,846.400,0.600,0,2135,3525,61.713776499383,1,570,1324.100
3526,3526,61.731358332716,61.731362432716,2,4286,524,3691,3495,3c80e081d91709a3,1216.500,3043.300,825.000,0.600,0,2136,3526,61.731278932716,1,572,1354.500
3527,3527,61.748861266049,61.748865366049,2,4286,519,3646,3475,996bbde53cf6c6e9,1177.400,3065.200,808.700,1.100,0,2137,3527,61.748781866049,1,574,1864.300
3528,3528,61.766365432716,61.766369532716,2,4286,517,3632,3454,4939c7ad0f79e71d,1180.900,3040.900,810.600,0.800,0,2138,3528,61.766284032716,1,576,1534.000
3529,3529,61.783867866049,61.783871966049,2,4286,515,3620,3435,f37816425ca76105,1183.300,3048.500,802.700,0.600,0,2139,3529,61.783786466049,1,578,1459.500
3530,3530,61.801372366049,61.801376466049,2,4286,513,3616,3420,4e548a5dda2c2c6e,1245.900,3067.900,803.000,0.700,0,2140,3530,61.801288966049,1,579,1488.800
3531,3531,61.818878732715,61.818882832715,2,4286,509,3575,3389,fb1f73a6161f7a8e,1253.400,2987.600,799.100,0.500,0,2141,3531,61.818791332715,1,583,1314.800
3532,3532,61.836381266048,61.836385366048,2,4286,508,3569,3364,6ee2d06bf7767108,1188.500,2991.500,797.300,0.600,0,2142,3532,61.836293866048,1,584,1376.800
3533,3533,61.853883632715,61.853887732715,2,4286,506,3611,3373,459424b70f9bfd70,1195.300,3142.700,800.900,0.600,0,2143,3533,61.853796232715,1,585,1305.900
3534,3534,61.871386166048,61.871390266048,2,4286,504,3593,3355,25747159d6972626,1214.800,3217.500,802.700,0.600,0,2144,3534,61.871298766048,1,587,1339.900
3535,3535,61.888890999381,61.888895099381,2,4286,504,3574,3336,501daa12cfd0f6e2,1179.000,3013.900,795.300,0.600,0,2145,3535,61.888801599381,1,587,1467.400
3536,3536,61.906389566048,61.906393666048,2,4286,500,3490,3311,366464526fa484aa,1197.000,3065.400,780.000,0.800,0,2146,3536,61.906303666048,1,590,1349.000
3537,3537,61.923884032714,61.923888132714,2,4286,500,3495,3284,7dbd5bb56f503c22,1179.800,2999.800,795.200,0.600,0,2147,3537,61.923806132714,1,590,1541.000
3538,3538,61.941339132714,61.941351799381,2,4286,494,3441,3258,b61ca94ae248ad14,1209.100,3245.300,764.800,0.900,0,2148,3538,61.941308732714,1,595,1545.000
3539,3539,61.958886966047,61.958891066047,2,4286,494,3440,3226,a803439e0182cbc7,1106.900,2875.500,779.500,0.600,0,2149,3539,61.958811066047,1,593,1667.600
3540,3540,61.976389499380,61.976393599380,2,4286,489,3367,3188,e2622e4dc9d5caef,1093.300,2984.600,746.300,0.600,0,2150,3540,61.976313599380,1,597,1356.400
3542,3542,62.011394532713,62.011398632713,2,4286,485,3332,3116,28545d21ceb06f12,1092.500,2990.100,740.000,0.700,0,2151,3542,62.011318632713,1,601,2025.200
3543,3543,62.028897299380,62.028901399380,2,4286,481,3284,3079,851ee3e4dab95f8b,1148.800,3172.300,733.600,1.500,0,2152,3543,62.028821399380,1,604,1316.900
3544,3544,62.046399432713,62.046403532713,2,4286,476,3198,3037,47295b31addbdabc,1099.700,2832.500,709.500,0.700,0,2153,3544,62.046323532713,1,608,1508.500
3545,3545,62.063901832713,62.063905932713,2,4286,470,3161,2980,d0f07f83f925c106,1114.500,2948.000,701.000,0.700,0,2154,3545,62.063825932713,1,614,1712.900
3546,3546,62.081403232713,62.081407332713,2,4286,464,3140,2898,c2646b14e1fb2c5c,1102.400,2930.800,695.200,0.500,0,2155,3546,62.081328499379,1,620,1330.300
3547,3547,62.098905566046,62.098909666046,2,4286,455,3035,2826,c2d55f37e34350a9,1115.200,2633.600,687.900,0.600,0,2156,3547,62.098830832712,1,629,1398.000
3548,3548,62.116408166046,62.116412266046,2,4286,446,2974,2743,f8546fdd8c4fd3a2,1090.500,2694.100,665.500,0.800,0,2157,3548,62.116333432712,1,638,1823.000
3549,3549,62.133921832712,62.133925932712,2,4286,435,2825,2663,a10cf0f75770362a,1086.300,2591.900,626.100,0.600,0,2158,3549,62.133847099379,1,646,1341.400
3550,3550,62.151413066045,62.151417166045,2,4286,429,2804,2637,a50976449e418df9,1126.800,2635.100,623.600,0.700,0,2159,3550,62.151338332712,1,651,1380.800
3551,3551,62.168915832712,62.168919932712,2,4286,418,2779,2582,10e0acb46366a337,981.600,2461.200,615.300,0.800,0,2160,3551,62.168841099378,1,655,1606.100
3552,3552,62.186417966045,62.186422066045,2,4286,410,2691,2485,56b3fe407c32a1b1,1009.400,2652.000,602.700,0.700,0,2161,3552,62.186343232711,1,660,1384.200
3553,3553,62.203920432711,62.203924532711,2,4286,397,2541,2415,6ab5146ea57da5fd,1120.100,2550.600,563.300,0.500,0,2162,3553,62.203845699378,1,672,1366.000
3554,3554,62.221422999378,62.221427099378,2,4286,391,2517,2314,6a87b6c021966243,992.700,2436.500,557.100,0.600,0,2163,3554,62.221348266044,1,677,1549.200
3555,3555,62.238881066044,62.238893732711,2,4286,380,2421,2298,e292d6bfd2ddad7e,1017.000,2524.300,552.800,0.700,0,2164,3555,62.238850666044,1,686,1427.400
3556,3556,62.256427899377,62.256431999377,2,4286,376,2419,2157,4764a2c004315f60,965.800,2496.600,540.500,0.500,0,2165,3556,62.256353166044,1,690,1330.300
3557,3557,62.273930432711,62.273934532711,2,4286,370,2264,2136,9ac70d37e913a7ce,1076.500,2390.300,501.000,0.800,0,2166,3557,62.273855699377,1,695,1534.400
3558,3558,62.291432832710,62.291436932710,2,4286,371,2286,2096,76e0024b900a7e38,989.800,2374.800,507.000,0.600,0,2167,3558,62.291358099377,1,694,1753.300
3559,3559,62.308935766044,62.308939866044,2,4286,366,2308,1991,09cfb86b03865082,1015.100,2423.000,511.700,0.600,0,2168,3559,62.308861032710,1,694,1329.800
3560,3560,62.326393466043,62.326406132710,2,4286,356,2107,1909,2be76be3d42de6e5,987.700,2317.200,467.300,0.600,0,2169,3560,62.326363066043,1,698,1344.000
3561,3561,62.343895832710,62.343908399377,2,4286,352,2059,1868,aa90c9c307a9491a,1004.100,2306.800,455.900,0.900,0,2170,3561,62.343865432710,1,700,1640.800
3562,3562,62.361396832710,62.361410999376,2,4286,349,2103,1846,db5df0e02a567212,1002.200,2345.400,466.400,0.600,0,2171,3562,62.361368032710,1,700,1367.200
3563,3563,62.378900799376,62.378913466043,2,4286,346,1968,1836,e573056a094bc2d9,1004.300,2468.100,436.600,0.700,0,2172,3563,62.378870399376,1,701,1578.900
3564,3564,62.396403266043,62.396415932709,2,4286,338,1942,1818,c169a4edadd3845d,1014.900,2308.900,430.300,0.800,0,2173,3564,62.396372866043,1,701,1621.800
3565,3565,62.413950066043,62.413954166043,2,4286,336,1975,1801,c6c2107b2086d98b,1288.400,2782.500,438.700,0.600,0,2174,3565,62.413875332709,1,694,1543.000
3567,3567,62.448955299376,62.448959399376,2,4286,324,1899,1774,0c2c4d5ddc0efc05,974.600,2292.600,426.900,0.600,0,2175,3567,62.448880566042,1,680,1577.800
3568,3568,62.466457532709,62.466461632709,2,4286,316,1869,1748,cf8d39dd7d9107f1,1148.300,2337.500,415.300,1.200,0,2176,3568,62.466382799375,1,671,1594.700
3569,3569,62.483959932708,62.483964032708,2,4286,308,1847,1728,d5c28579d0b78907,949.800,2213.100,415.900,0.700,0,2177,3569,62.483885199375,1,668,1728.700
3570,3570,62.501462432708,62.501466532708,2,4286,301,1828,1708,07e8f3d85577e0ce,964.900,2179.700,404.700,1.100,0,2178,3570,62.501387699375,1,666,1563.800
3571,3571,62.518964932708,62.518969032708,2,4286,291,1799,1665,255e5bd864097afc,957.400,2164.100,398.300,0.600,0,2179,3571,62.518890199375,1,667,1301.500
3572,3572,62.536467366041,62.536471466041,2,4286,285,1772,1594,1cbc583e0cccba5d,941.200,2122.200,392.800,1.000,0,2180,3572,62.536392632708,1,662,1275.300
3573,3573,62.553969932708,62.553974032708,2,4286,272,1676,1517,38829cbf0842bbdf,947.200,2076.000,374.600,0.500,0,2181,3573,62.553895199374,1,656,1623.100
