scene,frame,generation,pages,palettes,bytes,hash,decode_us,upload_us,snapshot_us
2112,3501,1,4096,25,16819496,036316ae6098f1fa,24260.100,2447.500,0.200
2113,3502,2,3,25,38196,20027663fcbd863f,47.400,149.100,0.100
2114,3503,3,3,25,38196,79f92d81e5cf2ba8,57.000,169.700,0.100
2115,3504,4,3,25,38196,bf1718d956283871,47.200,185.000,0.200
2116,3505,5,3,25,38196,b24842c0fdfb55ae,49.800,203.000,0.100
2117,3506,6,3,25,38196,f4f3e60e04003aed,46.300,167.700,0.100
2118,3507,7,3,25,38196,5aaf1002751accf7,46.600,195.400,0.100
2119,3508,8,3,25,38196,d533144cbdc03db4,45.100,190.000,0.500
2120,3509,9,3,25,38196,a353428549d43903,48.300,188.700,0.200
2121,3510,10,3,25,38196,0c791df796e26c21,53.100,282.200,1.300
2122,3512,11,3,25,38196,ab66c0182d488934,54.200,235.400,0.500
2123,3513,12,3,25,38196,0374ddd735e2bbcb,54.400,172.500,0.500
2124,3514,13,3,25,38196,6331d7c241b903bd,48.100,158.400,0.200
2125,3515,14,3,25,38196,0bfdb813078f9da8,46.900,146.800,0.200
2126,3516,15,3,25,38196,2a1910caf8c7bbf2,55.800,234.900,1.400
2127,3517,16,3,26,39228,4651091382f27ee0,59.000,236.600,0.100
2128,3518,17,3,26,39228,471f219f48c642fa,53.600,206.100,0.400
2129,3519,18,3,26,39228,8ed3abf422c18919,48.800,188.000,0.400
2130,3520,19,3,26,39228,9fd394eb479a8f62,47.500,195.400,0.100
2131,3521,20,3,26,39228,de5654a7d145e9c2,47.700,179.600,0.400
2132,3522,21,3,26,39228,3daf215794d23a08,48.400,158.400,0.500
2133,3523,22,3,26,39228,ce482b4cc3e741fa,48.800,152.300,0.100
2134,3524,23,3,25,38196,728d0c06456d21dc,53.400,211.200,0.100
2135,3525,24,3,25,38196,3aede842f8ac66ea,47.000,190.300,0.100
2136,3526,25,3,25,38196,a072b766141503fe,49.800,218.600,0.200
2137,3527,26,3,25,38196,cccc80a8012f2ca5,95.400,167.800,0.200
2138,3528,27,3,25,38196,a5ffa8a7c5d0c36d,46.500,155.200,0.100
2139,3529,28,3,25,38196,7677570d3057ed54,47.400,179.100,0.400
2140,3530,29,3,25,38196,f92eb28126c490f6,48.300,165.700,0.400
2141,3531,30,3,25,38196,2733c895a1b29862,48.400,150.600,0.100
2142,3532,31,3,25,38196,d39d5dad4bbf93aa,47.300,192.400,0.100
2143,3533,32,3,27,40260,5434e9eb4e8239ca,52.700,144.800,0.100
2144,3534,33,3,27,40260,382e16dde06f17f6,49.000,206.300,0.100
2145,3535,34,3,27,40260,57cba875ca4e49a4,52.700,182.700,0.500
2146,3536,35,3,26,39228,228150f39e07d2e3,48.000,186.500,0.100
2147,3537,36,3,26,39228,84b884e5cec89c39,49.200,149.300,0.100
2148,3538,37,3,26,39228,21ba231c14e8e9b0,69.000,196.500,0.100
2149,3539,38,3,26,39228,11121224a985655f,50.400,213.100,0.100
2150,3540,39,3,26,39228,c203f9a64f4665a1,49.900,195.200,0.400
2151,3542,40,3,26,39228,0947db6512e8daf1,49.900,206.000,0.100
2152,3543,41,3,26,39228,d37326a963392cec,48.400,145.200,0.200
2153,3544,42,3,26,39228,0a5e280d58a49eb8,50.000,151.600,0.200
2154,3545,43,3,26,39228,155cea9a419f677a,48.000,154.400,0.100
2155,3546,44,3,25,38196,8017b8f960ccbc06,48.400,201.500,0.200
2156,3547,45,3,25,38196,e4ed3bc93a4203df,50.100,176.200,0.400
2157,3548,46,3,26,39228,0b82cdcbf8deede5,51.400,155.200,0.100
2158,3549,47,3,26,39228,856d3b1f11a937f0,49.200,146.900,0.100
2159,3550,48,3,27,40260,4f247379308e18d6,50.400,208.200,0.100
2160,3551,49,3,26,39228,2b03f3d0f871f04c,55.200,179.200,0.300
2161,3552,50,3,25,38196,5e0896482651a0a5,47.400,150.700,0.100
2162,3553,51,3,25,38196,71fa0e3879000737,49.000,156.500,0.100
2163,3554,52,3,25,38196,8e09d2f5819ec293,55.400,256.100,0.200
