scene,frame,generation,pages,palettes,bytes,hash,stage_us,encode_us,queue_us,commit_us
2112,3501,1,4096,26,16820528,036316ae6098f1fa,24310.800,8572.100,1190.800,19813.500
2113,3502,2,3,26,39228,20027663fcbd863f,1333.900,10.100,11.100,11.400
2114,3503,3,3,26,39228,79f92d81e5cf2ba8,1546.300,9.600,10.900,11.600
2115,3504,4,3,26,39228,bf1718d956283871,1266.100,10.000,10.600,11.800
2116,3505,5,3,26,39228,b24842c0fdfb55ae,1382.200,9.500,12.300,11.700
2117,3506,6,3,26,39228,f4f3e60e04003aed,1251.100,8.900,11.600,11.600
2118,3507,7,3,26,39228,5aaf1002751accf7,1377.600,9.600,11.400,11.700
2119,3508,8,3,26,39228,d533144cbdc03db4,1634.600,10.500,11.300,11.600
2120,3509,9,3,26,39228,a353428549d43903,1256.300,9.200,11.700,11.600
2121,3510,10,3,26,39228,0c791df796e26c21,1402.300,10.300,12.000,11.400
2122,3512,11,3,26,39228,ab66c0182d488934,1403.500,11.200,11.600,11.700
2123,3513,12,3,26,39228,0374ddd735e2bbcb,1563.100,13.200,13.100,11.800
2124,3514,13,3,26,39228,6331d7c241b903bd,1401.600,10.600,13.300,11.600
2125,3515,14,3,26,39228,0bfdb813078f9da8,1262.700,11.300,15.400,12.300
2126,3516,15,3,26,39228,2a1910caf8c7bbf2,1298.900,9.600,10.600,11.500
2127,3517,16,3,27,40260,4651091382f27ee0,1351.000,10.500,12.400,11.500
2128,3518,17,3,27,40260,471f219f48c642fa,1295.400,10.800,11.500,11.500
2129,3519,18,3,27,40260,8ed3abf422c18919,1442.100,9.900,13.400,11.800
2130,3520,19,3,27,40260,9fd394eb479a8f62,1247.900,9.900,10.300,11.300
2131,3521,20,3,27,40260,de5654a7d145e9c2,1255.500,10.000,11.600,11.500
2132,3522,21,3,27,40260,3daf215794d23a08,1869.100,12.100,12.100,12.200
2133,3523,22,3,27,40260,ce482b4cc3e741fa,1274.800,10.300,10.700,11.600
2134,3524,23,3,26,39228,728d0c06456d21dc,1310.400,10.000,11.500,11.300
2135,3525,24,3,26,39228,3aede842f8ac66ea,1444.600,10.100,12.700,11.700
2136,3526,25,3,26,39228,a072b766141503fe,1244.900,9.800,12.000,11.500
2137,3527,26,3,26,39228,cccc80a8012f2ca5,1294.200,10.400,11.100,11.700
2138,3528,27,3,26,39228,a5ffa8a7c5d0c36d,1360.300,9.600,11.600,11.500
2139,3529,28,3,26,39228,7677570d3057ed54,1237.900,10.800,10.700,11.400
2140,3530,29,3,26,39228,f92eb28126c490f6,1247.300,10.500,10.700,11.400
2141,3531,30,3,26,39228,2733c895a1b29862,1304.200,10.800,10.100,11.500
2142,3532,31,3,26,39228,d39d5dad4bbf93aa,1768.100,12.900,12.300,11.700
2143,3533,32,3,27,40260,5434e9eb4e8239ca,1296.600,10.400,10.300,11.400
2144,3534,33,3,27,40260,382e16dde06f17f6,1353.900,10.800,11.500,11.500
2145,3535,34,3,27,40260,57cba875ca4e49a4,1385.500,12.000,11.200,12.100
2146,3536,35,3,26,39228,228150f39e07d2e3,1250.400,10.000,9.400,11.600
2147,3537,36,3,26,39228,84b884e5cec89c39,1240.100,9.600,11.200,11.500
2148,3538,37,3,26,39228,21ba231c14e8e9b0,1479.200,10.200,11.400,12.100
2149,3539,38,3,26,39228,11121224a985655f,1256.900,10.500,10.200,12.000
2150,3540,39,3,26,39228,c203f9a64f4665a1,1280.000,11.500,9.700,11.500
2151,3542,40,3,26,39228,0947db6512e8daf1,1953.600,13.900,13.800,12.300
2152,3543,41,3,26,39228,d37326a963392cec,1276.300,10.400,10.900,12.000
2153,3544,42,3,26,39228,0a5e280d58a49eb8,1336.600,11.000,9.500,11.400
2154,3545,43,3,26,39228,155cea9a419f677a,1321.400,11.100,11.200,12.300
2155,3546,44,3,25,38196,8017b8f960ccbc06,1259.000,12.200,10.400,11.700
2156,3547,45,3,25,38196,e4ed3bc93a4203df,1276.900,10.900,11.500,12.200
2157,3548,46,3,26,39228,0b82cdcbf8deede5,1583.100,10.700,11.500,11.300
2158,3549,47,3,26,39228,856d3b1f11a937f0,1454.300,10.600,11.400,12.000
2159,3550,48,3,27,40260,4f247379308e18d6,1315.600,11.200,11.800,11.500
2160,3551,49,3,26,39228,2b03f3d0f871f04c,1729.700,11.300,13.800,11.700
2161,3552,50,3,25,38196,5e0896482651a0a5,1268.100,10.800,10.600,11.600
2162,3553,51,3,25,38196,71fa0e3879000737,1247.500,9.800,11.100,11.400
2163,3554,52,3,25,38196,8e09d2f5819ec293,1409.000,11.300,10.200,12.200
2164,3555,53,3,25,38196,efd1072ea4fe26a2,1283.700,10.300,9.900,11.500
2165,3556,54,3,25,38196,345335e90b75436a,1368.400,10.400,11.200,11.600
2166,3557,55,3,25,38196,1629a12b57ebac16,1342.200,10.600,10.300,12.100
2167,3558,56,3,26,39228,ab04ed51dca6ff34,1473.900,10.500,11.400,11.400
2168,3559,57,3,27,40260,4d452dd3fcbadd54,1455.000,10.500,12.000,11.500
2169,3560,58,3,26,39228,b6375ceb4065eed3,1293.900,10.900,11.600,11.600
2170,3561,59,3,26,39228,0baf255b70b79340,1649.300,10.800,12.500,11.600
2171,3562,60,3,26,39228,87267471aa5967bf,1289.900,10.500,10.200,11.900
2172,3563,61,3,26,39228,de76148e8be68cc8,1329.000,10.500,10.200,11.400
