frame,width,height,batches,vertices,clears,snapshot,color_differences,depth_differences,mirror_us,snapshot_us
1837,2736,4096,3453,7240716,911,0,0,0,262.600,0.000
1838,2736,4096,3459,7243266,913,0,0,0,262.800,0.000
1839,2736,4096,3465,7245816,915,0,0,0,263.200,0.000
1840,2736,4096,3472,7248366,917,0,0,0,263.600,0.000
1841,2736,4096,3478,7250916,919,0,0,0,263.800,0.000
1842,2736,4096,3485,7253466,921,0,0,0,264.300,0.000
1843,2736,4096,3491,7256016,923,0,0,0,264.600,0.000
1844,2736,4096,3497,7258566,925,0,0,0,265.000,0.000
1845,2736,4096,3503,7261116,927,0,0,0,265.300,0.000
1846,2736,4096,3510,7263666,929,0,0,0,265.600,0.000
1847,2736,4096,3516,7266216,931,0,0,0,266.000,0.000
1848,2736,4096,3522,7268766,933,0,0,0,266.200,0.000
1849,2736,4096,3528,7271316,935,0,0,0,266.500,0.000
1850,2736,4096,3534,7273866,937,0,0,0,266.800,0.000
1851,2736,4096,3540,7276416,939,0,0,0,267.100,0.000
1852,2736,4096,3546,7278966,941,0,0,0,267.400,0.000
1853,2736,4096,3552,7281516,943,0,0,0,267.800,0.000
1854,2736,4096,3558,7284066,945,0,0,0,268.300,0.000
1855,2736,4096,3564,7286616,947,0,0,0,268.500,0.000
1856,2736,4096,3570,7289166,949,0,0,0,268.900,0.000
1857,2736,4096,3576,7291716,951,0,0,0,269.100,0.000
1858,2736,4096,3582,7294266,953,0,0,0,269.400,0.000
1859,2736,4096,3589,7296816,955,0,0,0,269.900,0.000
1860,2736,4096,3595,7299366,957,0,0,0,270.200,0.000
1861,2736,4096,3602,7301916,959,0,0,0,270.600,0.000
1862,2736,4096,3608,7304466,961,0,0,0,270.900,0.000
1863,2736,4096,3614,7307016,963,0,0,0,271.100,0.000
1864,2736,4096,3620,7309566,965,0,0,0,271.500,0.000
1865,2736,4096,3626,7312116,967,0,0,0,271.700,0.000
1866,2736,4096,3632,7314666,969,0,0,0,272.000,0.000
1867,2736,4096,3638,7317216,971,0,0,0,272.300,0.000
1868,2736,4096,3644,7319766,973,0,0,0,272.600,0.000
1869,2736,4096,3650,7322316,975,0,0,0,272.900,0.000
1870,2736,4096,3656,7324866,977,0,0,0,273.200,0.000
1871,2736,4096,3662,7327416,979,0,0,0,273.500,0.000
1872,2736,4096,3668,7329966,981,0,0,0,273.800,0.000
1873,2736,4096,3674,7332516,983,0,0,0,274.000,0.000
1874,2736,4096,3680,7335066,985,0,0,0,274.200,0.000
1875,2736,4096,3686,7337616,987,0,0,0,274.500,0.000
1876,2736,4096,3692,7340166,989,0,0,0,274.900,0.000
1877,2736,4096,3698,7342716,991,0,0,0,275.300,0.000
1878,2736,4096,3704,7345266,993,0,0,0,275.600,0.000
1879,2736,4096,3710,7347816,995,0,0,0,275.900,0.000
1880,2736,4096,3716,7350366,997,0,0,0,276.200,0.000
1881,2736,4096,3722,7352916,999,0,0,0,276.400,0.000
1882,2736,4096,3728,7355466,1001,0,0,0,276.700,0.000
1883,2736,4096,3734,7358016,1003,0,0,0,276.900,0.000
1884,2736,4096,3740,7360566,1005,0,0,0,277.200,0.000
1885,2736,4096,3746,7363116,1007,0,0,0,277.500,0.000
1886,2736,4096,3752,7365666,1009,0,0,0,277.700,0.000
1887,2736,4096,3758,7368216,1011,0,0,0,278.000,0.000
1888,2736,4096,3764,7370766,1013,0,0,0,278.400,0.000
1889,2736,4096,3771,7373316,1015,0,0,0,278.800,0.000
1890,2736,4096,3777,7375866,1017,0,0,0,279.100,0.000
1891,2736,4096,3783,7378416,1019,0,0,0,279.400,0.000
1892,2736,4096,3789,7380966,1021,0,0,0,279.700,0.000
1893,2736,4096,3795,7383516,1023,0,0,0,280.000,0.000
1894,2736,4096,3801,7386066,1025,0,0,0,280.400,0.000
1895,2736,4096,3807,7388616,1027,0,0,0,280.600,0.000
1896,2736,4096,3813,7391166,1029,0,0,0,280.900,0.000
1897,2736,4096,3819,7393716,1031,0,0,0,281.200,0.000
1898,2736,4096,3825,7396266,1033,0,0,0,281.500,0.000
1899,2736,4096,3831,7398816,1035,0,0,0,281.800,0.000
1900,2736,4096,3837,7401366,1037,0,0,0,282.100,0.000
1901,2736,4096,3843,7403916,1039,0,0,0,282.400,0.000
1902,2736,4096,3849,7406466,1041,0,0,0,282.800,0.000
1903,2736,4096,3855,7409016,1043,0,0,0,283.200,0.000
1904,2736,4096,3861,7411566,1045,0,0,0,283.500,0.000
1905,2736,4096,3867,7414116,1047,0,0,0,283.800,0.000
1906,2736,4096,3873,7416666,1049,0,0,0,284.100,0.000
1907,2736,4096,3879,7419216,1051,0,0,0,284.400,0.000
1908,2736,4096,3885,7421766,1053,0,0,0,284.600,0.000
1909,2736,4096,3892,7424316,1055,0,0,0,285.300,0.000
1910,2736,4096,3898,7426866,1057,0,0,0,285.600,0.000
1911,2736,4096,3904,7429416,1059,0,0,0,285.900,0.000
1912,2736,4096,3910,7431966,1061,0,0,0,286.200,0.000
1913,2736,4096,3916,7434516,1063,0,0,0,286.900,0.000
1914,2736,4096,3922,7437066,1065,0,0,0,287.200,0.000
1915,2736,4096,3928,7439616,1067,0,0,0,288.400,0.000
1916,2736,4096,3934,7442166,1069,0,0,0,288.700,0.000
1917,2736,4096,3940,7444716,1071,0,0,0,288.900,0.000
