frame,emulated_seconds,host_seconds
1,0.017502471249,0.021091900
2,0.035004942498,0.045364700
3,0.052507413746,0.062907800
4,0.070009884995,0.078458200
5,0.087512356244,0.096772900
6,0.105014827493,0.113526300
7,0.122517298741,0.131049600
8,0.140019769990,0.147336900
9,0.157522241239,0.165120200
10,0.175024712488,0.182173600
11,0.192527183736,0.201603800
12,0.210029654985,0.219430200
13,0.227532126234,0.235822900
14,0.245034597483,0.252884700
15,0.262537068731,0.269710900
16,0.280039539980,0.287945400
17,0.297542011229,0.304748600
18,0.315044482478,0.321834700
19,0.332546953727,0.340962600
20,0.350049424975,0.358533300
21,0.367551896224,0.376446700
22,0.385054367473,0.394779100
23,0.402556838722,0.411110600
24,0.420059309970,0.428270100
25,0.437561781219,0.445893300
26,0.455064252468,0.463382800
27,0.472566723717,0.480493300
28,0.490069194965,0.498298000
29,0.507571666214,0.516758200
30,0.525074137463,0.535315500
31,0.542576608712,0.555535600
32,0.560079079960,0.573586100
33,0.577581551209,0.591295900
34,0.595084022458,0.608903700
35,0.612586493707,0.624984300
36,0.630088964956,0.642433700
37,0.647591436204,0.660625800
38,0.665093907453,0.681210500
39,0.682596378702,0.696897700
40,0.700098849951,0.713644900
41,0.717601321199,0.733843100
42,0.735103792448,0.749232600
43,0.752606263697,0.766153000
44,0.770108734946,0.785014900
45,0.787611206194,0.801839000
46,0.805113677443,0.819351800
47,0.822616148692,0.836844300
48,0.840118619941,0.856417000
49,0.857621091189,0.872709400
50,0.875123562438,0.891576200
51,0.892626033687,0.907991900
52,0.910128504936,0.923557300
53,0.927630976185,0.941891200
54,0.945133447433,0.958927000
55,0.962635918682,0.976189000
56,0.980138389931,0.993609300
57,0.997640861180,1.011264800
58,1.015143332428,1.029050400
59,1.032645803677,1.046731300
60,1.050148274926,1.064119400
61,1.067650746175,1.083032900
62,1.085153217423,1.099408600
63,1.102655688672,1.116676400
64,1.120158159921,1.135041200
65,1.137660631170,1.151857100
66,1.155163102418,1.169221400
67,1.172665573667,1.186852100
68,1.190168044916,1.206273700
69,1.207670516165,1.222957800
70,1.225172987414,1.239758500
71,1.242675458662,1.256266900
72,1.260177929911,1.273830000
73,1.277680401160,1.291166500
74,1.295182872409,1.309257500
75,1.312685343657,1.326648400
76,1.330187814906,1.343860800
77,1.347690286155,1.361304000
78,1.365192757404,1.378870000
79,1.382695228652,1.397989400
80,1.400197699901,1.414336600
81,1.417700171150,1.431248700
82,1.435202642399,1.448917600
83,1.452705113647,1.466363000
84,1.470207584896,1.483731000
85,1.487710056145,1.501180400
86,1.505212527394,1.518806000
87,1.522714998642,1.536893900
88,1.540217469891,1.556309100
89,1.557719941140,1.572882600
90,1.575222412389,1.590426300
91,1.592724883638,1.607159700
92,1.610227354886,1.623815100
93,1.627729826135,1.641333500
94,1.645232297384,1.659611700
95,1.662734768633,1.676027700
96,1.680237239881,1.693707400
97,1.697739711130,1.711315800
98,1.715242182379,1.729019300
99,1.732744653628,1.747144000
100,1.750247124876,1.764225800
101,1.767749596125,1.781571600
102,1.785252067374,1.800756600
103,1.802754538623,1.817089200
104,1.820257009871,1.834349800
105,1.837759481120,1.852177700
106,1.855261952369,1.869780500
107,1.872764423618,1.886937000
108,1.890266894867,1.906077900
109,1.907769366115,1.923027600
110,1.925271837364,1.939609700
111,1.942774308613,1.956350700
112,1.960276779862,1.973674000
113,1.977779251110,1.991301300
114,1.995281722359,2.008879900
115,2.012784193608,2.026293700
116,2.030286664857,2.043719700
117,2.047789136105,2.061438000
118,2.065291607354,2.078703000
119,2.082794078603,2.096596500
120,2.100296549852,2.114085200
121,2.117799021100,2.131311800
122,2.135301492349,2.148798900
123,2.152803963598,2.166391100
124,2.170306434847,2.183819600
125,2.187808906096,2.201493200
126,2.205311377344,2.219307000
127,2.222813848593,2.237548700
128,2.240316319842,2.255882000
129,2.257818791091,2.272750200
130,2.275321262339,2.289726700
131,2.292823733588,2.306573200
132,2.310326204837,2.323925900
133,2.327828676086,2.341847100
134,2.345331147334,2.359662400
135,2.362833618583,2.376897400
136,2.380336089832,2.393974900
137,2.397838561081,2.411288300
138,2.415341032329,2.428757400
139,2.432843503578,2.446292000
140,2.450345974827,2.464118800
141,2.467848446076,2.481487100
142,2.485350917325,2.498720500
143,2.502853388573,2.516219100
144,2.520355859822,2.534658700
145,2.537858331071,2.551668900
146,2.555360802320,2.570304900
