frame,cpu_frame,cpu_time,device_time,scene,scene_frame,scene_time,multiplier,instances,quads,viewport,hash,source_us,assembly_us,hash_us,snapshot_us,guest_cycles,bounds,culled_bounds
3501,3501,61.293801432720,61.293805532720,2112,3501,61.293717199387,3,1283,10295,5245,709b9ab48aa78f0a,925.000,4896.600,2289.300,0.500,0,0,0
3502,3502,61.311303899387,61.311307999387,2113,3502,61.311219666054,3,1282,10286,5226,0f6dedcdbbcd9370,917.200,4864.800,2333.100,0.700,0,0,0
3503,3503,61.328806699387,61.328810799387,2114,3503,61.328722466053,3,1280,10275,5215,a59c4464fae39112,883.500,4720.800,2346.800,0.700,0,0,0
3504,3504,61.346308866053,61.346312966053,2115,3504,61.346224632720,3,1278,10263,5186,b9a92b1fa12875bc,851.300,4993.600,2317.400,0.600,0,0,0
3505,3505,61.363814566053,61.363818666053,2116,3505,61.363727166053,3,1277,10249,5159,d545e6865d592837,899.000,4469.200,2301.300,0.500,0,0,0
3506,3506,61.381320932720,61.381325032720,2117,3506,61.381229532720,3,1275,10245,5144,e70fd24ce3fefa98,836.200,4600.800,2282.800,0.600,0,0,0
3507,3507,61.398823466053,61.398827566053,2118,3507,61.398732066053,3,1271,10226,5123,d6a110fad4409412,916.300,4491.500,2316.800,0.500,0,0,0
3508,3508,61.416327966052,61.416332066053,2119,3508,61.416234566053,3,1268,10210,5101,706e75e269c113c3,879.100,4516.400,2392.100,0.600,0,0,0
3509,3509,61.433830332719,61.433834432719,2120,3509,61.433736932719,3,1266,10197,5076,bcb8d42e795df399,872.700,4713.700,2275.200,0.900,0,0,0
3510,3510,61.451334932719,61.451339032719,2121,3510,61.451239532719,3,1264,10184,5052,a5ce8dc7e7295bf9,940.100,4625.700,2306.900,1.000,0,0,0
3512,3512,61.486341832718,61.486345932718,2122,3512,61.486244432718,3,1257,10124,4997,001b2381623d89d8,862.900,4688.100,2254.100,0.600,0,0,0
3513,3513,61.503844366052,61.503848466052,2123,3513,61.503746966052,3,1253,10107,4968,3bf0d59272b407e2,834.800,4401.700,2268.800,0.600,0,0,0
3514,3514,61.521346732718,61.521350832718,2124,3514,61.521249332718,3,1249,10087,4942,f26231d72095e1f0,859.700,4393.400,2322.400,0.400,0,0,0
3515,3515,61.538846932718,61.538851032718,2125,3515,61.538751866051,3,1121,8972,3814,4c2b331c406711fa,844.500,3951.700,2036.900,0.700,0,0,0
3516,3516,61.556349399384,61.556353499384,2126,3516,61.556254332718,3,1119,8961,3786,5a5d2c054b8848a6,840.700,3801.900,2014.200,0.700,0,0,0
3517,3517,61.573787232718,61.573799799384,2127,3517,61.573756832718,3,1115,8920,3756,5b065affa689db2d,834.800,4274.300,1979.600,0.600,0,0,0
3518,3518,61.591289599384,61.591302266051,2128,3518,61.591259199384,3,1112,8855,3725,5a8fae967787c3d3,889.600,3860.900,1968.800,0.700,0,0,0
3519,3519,61.608839132717,61.608843232717,2129,3519,61.608762066051,3,1107,8833,3700,1fbd9636d8abc7eb,845.400,3953.700,1974.400,0.600,0,0,0
3520,3520,61.626294566050,61.626307232717,2130,3520,61.626264166050,3,1105,8744,3674,0aa12dbe1dbb10cb,871.900,3767.600,1964.600,0.600,0,0,0
3521,3521,61.643843732717,61.643847832717,2131,3521,61.643766666050,3,1105,8744,3653,0777656d9587eca9,833.700,3806.200,1978.800,6.700,0,0,0
3522,3522,61.661346232717,61.661350332717,2132,3522,61.661269166050,3,1103,8734,3623,2e50c8707dbda37a,841.500,4312.700,1939.800,1.100,0,0,0
3523,3523,61.678848666050,61.678852766050,2133,3523,61.678771599383,3,1099,8697,3593,fead792da761f169,843.900,3907.300,1952.300,1.300,0,0,0
3524,3524,61.696351199383,61.696355299383,2134,3524,61.696274132716,3,1098,8679,3570,68bab11f403d32e0,860.700,3757.100,1932.500,1.800,0,0,0
3525,3525,61.713855899383,61.713859999383,2135,3525,61.713776499383,3,1098,8674,3552,4224203e40ebbe7b,937.500,3736.400,1935.200,1.300,0,0,0
3526,3526,61.731358332716,61.731362432716,2136,3526,61.731278932716,3,1098,8670,3527,010f628f12dd5f36,850.200,3613.000,1923.900,0.600,0,0,0
3527,3527,61.748861266049,61.748865366049,2137,3527,61.748781866049,3,1095,8652,3507,61ea863d835bde4e,827.300,3768.000,1951.200,0.800,0,0,0
3528,3528,61.766365432716,61.766369532716,2138,3528,61.766284032716,3,1095,8652,3486,3b493dafb9819d9c,850.600,3635.000,1919.800,0.500,0,0,0
3529,3529,61.783867866049,61.783871966049,2139,3529,61.783786466049,3,1095,8650,3467,38ee2063cda74acf,840.200,3669.700,1920.000,0.500,0,0,0
3530,3530,61.801372366049,61.801376466049,2140,3530,61.801288966049,3,1094,8652,3452,e8b71445fb0dd85f,843.100,3705.400,1980.700,0.600,0,0,0
3531,3531,61.818878732715,61.818882832715,2141,3531,61.818791332715,3,1094,8649,3421,9cdc1f377dac4e41,838.500,3584.600,1965.400,0.500,0,0,0
3532,3532,61.836381266048,61.836385366048,2142,3532,61.836293866048,3,1094,8645,3396,5bb403769faad898,838.500,3661.200,1921.600,0.700,0,0,0
3533,3533,61.853883632715,61.853887732715,2143,3533,61.853796232715,3,1092,8625,3376,8617b0313aecbe12,843.600,3843.900,2029.700,0.600,0,0,0
3534,3534,61.871386166048,61.871390266048,2144,3534,61.871298766048,3,1092,8617,3358,0c1046658a0342d7,848.400,3868.900,1927.200,0.700,0,0,0
3535,3535,61.888890999381,61.888895099381,2145,3535,61.888801599381,3,1091,8595,3336,f91ff3b8d2db62ab,897.300,3798.400,1919.100,0.600,0,0,0
3536,3536,61.906389566048,61.906393666048,2146,3536,61.906303666048,3,1090,8542,3311,bd423a3f22f4f8d5,852.300,3880.400,1898.900,0.600,0,0,0
3537,3537,61.923884032714,61.923888132714,2147,3537,61.923806132714,3,1090,8541,3284,b09fdfbc60965dd8,832.800,3589.400,1897.400,0.600,0,0,0
3538,3538,61.941339132714,61.941351799381,2148,3538,61.941308732714,3,1089,8540,3258,acde6a96c1997138,843.400,3711.500,1899.000,0.600,0,0,0
3539,3539,61.958886966047,61.958891066047,2149,3539,61.958811066047,3,1087,8538,3226,66233ee99d6dd55b,920.700,3682.900,1894.000,0.600,0,0,0
3540,3540,61.976389499380,61.976393599380,2150,3540,61.976313599380,3,1086,8503,3188,52a21010b1d34c87,842.900,3604.700,1909.600,0.600,0,0,0
3542,3542,62.011394532713,62.011398632713,2151,3542,62.011318632713,3,1086,8504,3116,0974485d29db1a35,842.800,3686.800,1887.900,1.200,0,0,0
3543,3543,62.028897299380,62.028901399380,2152,3543,62.028821399380,3,1085,8493,3079,c53c2734c06569b4,850.200,3714.200,1906.300,0.800,0,0,0
3544,3544,62.046399432713,62.046403532713,2153,3544,62.046323532713,3,1084,8484,3037,8d1166124b1b4acb,839.900,3895.100,1885.600,0.500,0,0,0
3545,3545,62.063901832713,62.063905932713,2154,3545,62.063825932713,3,1084,8485,2980,9a4838276d6a2f84,840.800,3721.600,1942.000,0.600,0,0,0
3546,3546,62.081403232713,62.081407332713,2155,3546,62.081328499379,3,1084,8481,2898,3e39d4ff39e64b51,847.400,3658.000,1883.400,0.700,0,0,0
3547,3547,62.098905566046,62.098909666046,2156,3547,62.098830832712,3,1084,8480,2826,b3cad61f31009e90,892.500,3812.700,1938.500,0.600,0,0,0
3548,3548,62.116408166046,62.116412266046,2157,3548,62.116333432712,3,1084,8471,2743,8673bebf1b8e1464,929.500,3945.600,1883.700,0.700,0,0,0
3549,3549,62.133921832712,62.133925932712,2158,3549,62.133847099379,3,1081,8424,2663,fe68bc55c10a8eed,903.900,3634.400,1927.300,0.600,0,0,0
3550,3550,62.151413066045,62.151417166045,2159,3550,62.151338332712,3,1080,8412,2637,7b5d9f518fdd7a23,842.100,4021.900,1944.200,0.500,0,0,0
3551,3551,62.168915832712,62.168919932712,2160,3551,62.168841099378,3,1073,8329,2582,f0033260661c43ac,835.800,3638.600,1913.400,1.000,0,0,0
3552,3552,62.186417966045,62.186422066045,2161,3552,62.186343232711,3,1070,8268,2485,4fe0dd3083a6ecf6,887.500,3729.800,1838.400,0.600,0,0,0
3553,3553,62.203920432711,62.203924532711,2162,3553,62.203845699378,3,1069,8257,2415,cae6cf31669cc209,840.000,3854.300,1835.300,0.500,0,0,0
3554,3554,62.221422999378,62.221427099378,2163,3554,62.221348266044,3,1068,8243,2314,96d43699ec7793ec,853.300,3781.000,1842.500,1.000,0,0,0
3555,3555,62.238881066044,62.238893732711,2164,3555,62.238850666044,3,1066,8202,2298,6fa76795ce8b5907,839.200,3734.600,1890.900,0.500,0,0,0
3556,3556,62.256427899377,62.256431999377,2165,3556,62.256353166044,3,1066,8197,2157,0d5ad5a4e782f72f,854.400,3792.200,1927.800,1.300,0,0,0
3557,3557,62.273930432711,62.273934532711,2166,3557,62.273855699377,3,1065,8163,2136,3b5f24ed89b5ef69,854.000,3564.300,1812.700,0.700,0,0,0
3558,3558,62.291432832710,62.291436932710,2167,3558,62.291358099377,3,1065,8153,2096,88ea09dccea532b3,850.700,3622.700,1924.800,0.600,0,0,0
3559,3559,62.308935766044,62.308939866044,2168,3559,62.308861032710,3,1060,8100,1991,0fb2ebd67f94cd52,878.900,3891.300,1832.700,0.800,0,0,0
3560,3560,62.326393466043,62.326406132710,2169,3560,62.326363066043,3,1054,7996,1909,1bd961b2f76f968d,869.200,3854.500,1779.300,0.600,0,0,0
3561,3561,62.343895832710,62.343908399377,2170,3561,62.343865432710,3,1052,7977,1868,29f2340998cc452d,849.500,3858.800,1789.100,0.800,0,0,0
3562,3562,62.361396832710,62.361410999376,2171,3562,62.361368032710,3,1049,7933,1846,aeedb9bfff1055ec,838.500,3576.100,1762.400,0.500,0,0,0
3563,3563,62.378900799376,62.378913466043,2172,3563,62.378870399376,3,1047,7844,1836,a08686afb6eb3ff2,839.600,3710.300,1741.500,0.700,0,0,0
3564,3564,62.396403266043,62.396415932709,2173,3564,62.396372866043,3,1039,7813,1818,16735c6c02ac2fdb,870.700,3772.600,1772.000,0.600,0,0,0
3565,3565,62.413950066043,62.413954166043,2174,3565,62.413875332709,3,1030,7759,1801,17823c61f3cc020f,853.100,3571.600,1771.800,0.500,0,0,0
3567,3567,62.448955299376,62.448959399376,2175,3567,62.448880566042,3,1004,7571,1774,be5dbe993b8b3e15,905.300,3635.500,1690.000,0.600,0,0,0
3568,3568,62.466457532709,62.466461632709,2176,3568,62.466382799375,3,987,7499,1748,2f956ae7435f50a7,1104.200,3584.200,1676.700,0.800,0,0,0
3569,3569,62.483959932708,62.483964032708,2177,3569,62.483885199375,3,976,7425,1728,aa9e375340385306,847.400,3413.000,1689.400,0.800,0,0,0
3570,3570,62.501462432708,62.501466532708,2178,3570,62.501387699375,3,967,7370,1708,7281f417b39434a0,840.100,3524.500,1840.500,1.000,0,0,0
3571,3571,62.518964932708,62.518969032708,2179,3571,62.518890199375,3,958,7289,1665,5742f6bd58d2774b,834.900,3372.700,1664.900,0.500,0,0,0
3572,3572,62.536467366041,62.536471466041,2180,3572,62.536392632708,3,947,7211,1594,410b11a131965144,842.200,3353.000,1603.300,0.600,0,0,0
3573,3573,62.553969932708,62.553974032708,2181,3573,62.553895199374,3,928,7091,1517,4d0e97fa38ac04af,828.100,3305.800,1570.800,0.500,0,0,0
3574,3574,62.571428099374,62.571440766041,2182,3574,62.571397699374,3,911,6980,1421,9ca324384aef64b5,866.300,3226.700,1555.900,0.600,0,0,0
3575,3575,62.588975299374,62.588979399374,2183,3575,62.588900566041,3,898,6889,1337,afe61f1cb784936b,840.300,3262.100,1564.900,0.900,0,0,0
3576,3576,62.606432966041,62.606445632707,2184,3576,62.606402566041,3,883,6752,1243,dab0e8bc4e5f63f7,873.900,3251.200,1505.100,1.800,0,0,0
3577,3577,62.623935366040,62.623948032707,2185,3577,62.623904966040,3,869,6605,1142,386c05937df839c0,867.800,3131.400,1472.300,0.800,0,0,0
3578,3578,62.641473066040,62.641476899374,2186,3578,62.641407566040,3,859,6529,1052,6571322ebff1c56a,858.300,2776.700,1453.000,0.700,0,0,0
3579,3579,62.658940466040,62.658953132707,2187,3579,62.658910066040,3,849,6462,960,f90bb287254207d0,835.900,3029.700,1443.800,1.000,0,0,0
3580,3580,62.676477966040,62.676481799373,2188,3580,62.676412466040,3,838,6374,902,7ad1753c8d721083,854.200,2838.300,1414.500,0.600,0,0,0
3581,3581,62.693980432706,62.693984266040,2189,3581,62.693914932706,3,831,6320,846,48cfcd038720e060,841.700,2786.800,1401.200,0.600,0,0,0
3582,3582,62.711447766040,62.711460432706,2190,3582,62.711417366040,3,821,6232,781,85031cdd3ef9e0dd,838.000,2759.600,1389.000,0.900,0,0,0
3583,3583,62.728950532706,62.728963099373,2191,3583,62.728920132706,3,815,6176,695,f29e44e38ccc296e,890.500,2728.300,1369.600,0.500,0,0,0
3584,3584,62.746452799373,62.746465466039,2192,3584,62.746422399373,3,812,6135,619,98f8eccd0e732697,831.300,2647.600,1359.000,0.700,0,0,0
3585,3585,62.763955232706,62.763967866039,2193,3585,62.763924832706,3,802,6028,553,eea256a702cee98e,868.800,2681.800,1343.500,1.200,0,0,0
3586,3586,62.781502932706,62.781507032706,2194,3586,62.781427366039,3,797,5982,486,c337d0696e5a3005,931.000,2693.100,1353.200,0.700,0,0,0
3587,3587,62.799005399372,62.799009499372,2195,3587,62.798929832705,3,784,5853,351,b2420d724917521e,855.800,2590.000,1305.300,0.500,0,0,0
3588,3588,62.816462666039,62.816475299372,2196,3588,62.816432266039,3,777,5795,289,48cac5f839de96d3,860.700,2676.000,1291.200,1.000,0,0,0
3589,3589,62.833965099372,62.833977666038,2197,3589,62.833934699372,3,768,5727,261,d3889e2f68c2cd3c,846.500,2655.700,1271.100,0.700,0,0,0
3590,3590,62.851467599371,62.851480266038,2198,3590,62.851437199371,3,761,5626,229,55c4370b4ead1648,867.200,2591.400,1251.600,0.800,0,0,0
3591,3591,62.869016532705,62.869020632705,2199,3591,62.868940132705,3,755,5565,192,f811312cf8e35c06,848.400,2502.600,1233.100,0.400,0,0,0
3592,3592,62.886472466038,62.886485132704,2200,3592,62.886442066038,3,743,5470,9,f909fd3a5aa798dd,845.900,2490.800,1217.900,0.600,0,0,0
3593,3593,62.903974966038,62.903987532704,2201,3593,62.903944566038,3,733,5397,0,0248119c01b1ae6c,868.200,2583.400,1200.300,1.000,0,0,0
3594,3594,62.921475866037,62.921490032704,2202,3594,62.921447066037,3,725,5295,0,da59949ef64a7ae8,841.500,2461.200,1178.200,1.000,0,0,0
3595,3595,62.938979932704,62.938992499371,2203,3595,62.938949532704,3,716,5213,0,34ed388b3f477ff6,873.500,2450.600,1161.000,0.500,0,0,0
3596,3596,62.956482466037,62.956495032704,2204,3596,62.956452066037,3,703,5075,0,d5063157db28a5cb,866.900,2484.100,1124.500,0.600,0,0,0
