frame,time,pc,value
5945,102.626933840000,56e3,800000
5945,102.626976600000,570b,ff0000
5945,102.627019080000,5727,0
5946,102.644189080000,56e3,800000
5946,102.644231840000,570b,ff0000
5946,102.644274320000,5727,0
5947,102.661459280000,56e3,800000
5947,102.661502160000,570b,ff0000
5947,102.661544640000,5727,0
5948,102.678714520000,56e3,800000
5948,102.678757280000,570b,ff0000
5948,102.678799760000,5727,0
5949,102.695984680000,56e3,800000
5949,102.696027560000,570b,ff0000
5949,102.696070040000,5727,0
5950,102.713240040000,56e3,800000
5950,102.713282800000,570b,ff0000
5950,102.713325280000,5727,0
5951,102.730510120000,56e3,800000
5951,102.730552880000,570b,ff0000
5951,102.730595360000,5727,0
5952,102.747765400000,56e3,800000
5952,102.747808160000,570b,ff0000
5952,102.747850640000,5727,0
5953,102.765035640000,56e3,800000
5953,102.765078400000,570b,ff0000
5953,102.765120880000,5727,0
5954,102.782290960000,56e3,800000
5954,102.782333720000,570b,ff0000
5954,102.782376200000,5727,0
5955,102.799560920000,56e3,800000
5955,102.799603680000,570b,ff0000
5955,102.799646240000,5727,0
5956,102.816816280000,56e3,800000
5956,102.816859040000,570b,ff0000
5956,102.816901560000,5727,0
5957,102.834086440000,56e3,800000
5957,102.834129200000,570b,ff0000
5957,102.834171760000,5727,0
5958,102.851341720000,56e3,800000
5958,102.851384560000,570b,ff0000
5958,102.851427200000,5727,0
5959,102.868611880000,56e3,800000
5959,102.868654640000,570b,ff0000
5959,102.868697240000,5727,0
5960,102.885867160000,56e3,800000
5960,102.885909920000,570b,ff0000
5960,102.885952400000,5727,0
5961,102.903137320000,56e3,800000
5961,102.903180080000,570b,ff0000
5961,102.903222560000,5727,0
5962,102.920392600000,56e3,800000
5962,102.920435360000,570b,ff0000
5962,102.920477840000,5727,0
5963,102.937662760000,56e3,800000
5963,102.937705640000,570b,ff0000
5963,102.937748120000,5727,0
5964,102.954918160000,56e3,800000
5964,102.954960920000,570b,ff0000
5964,102.955003440000,5727,0
5965,102.972188200000,56e3,800000
5965,102.972230960000,570b,ff0000
5965,102.972273440000,5727,0
5966,102.989443480000,56e3,800000
5966,102.989486240000,570b,ff0000
5966,102.989528800000,5727,0
5967,103.006713640000,56e3,800000
5967,103.006756400000,570b,ff0000
5967,103.006798960000,5727,0
5968,103.023968920000,56e3,800000
5968,103.024011720000,570b,ff0000
5968,103.024054200000,5727,0
5969,103.041239040000,56e3,800000
5969,103.041281800000,570b,ff0000
5969,103.041324280000,5727,0
5970,103.058494360000,56e3,800000
5970,103.058537120000,570b,ff0000
5970,103.058579720000,5727,0
5971,103.075764440000,56e3,7f0000
5971,103.075807200000,570b,ff0000
5971,103.075849680000,5727,0
5972,103.093019800000,56e3,7d0000
5972,103.093062640000,570b,ff0000
5972,103.093105240000,5727,0
5973,103.110289920000,56e3,7b0000
5973,103.110332720000,570b,ff0000
5973,103.110375200000,5727,0
5974,103.127545320000,56e3,780000
5974,103.127588080000,570b,ff0000
5974,103.127630560000,5727,0
5975,103.144815400000,56e3,750000
5975,103.144858160000,570b,ff0000
5975,103.144900640000,5727,0
5976,103.162076640000,56e3,720000
5976,103.162119400000,570b,ff0000
5976,103.162161880000,5727,0
5977,103.179334840000,56e3,6e0000
5977,103.179377600000,570b,ff0000
5977,103.179420080000,5727,0
5978,103.196602280000,56e3,6b0000
5978,103.196645160000,570b,ff0000
5978,103.196687680000,5727,0
5979,103.213860360000,56e3,670000
5979,103.213903120000,570b,ff0000
5979,103.213945600000,5727,0
5980,103.231127520000,56e3,640000
5980,103.231170400000,570b,ff0000
5980,103.231212920000,5727,0
5981,103.248385840000,56e3,600000
5981,103.248428720000,570b,ff0000
5981,103.248471280000,5727,0
5982,103.265652960000,56e3,5d0000
5982,103.265695760000,570b,ff0000
5982,103.265738280000,5727,0
5983,103.282911240000,56e3,5b0000
5983,103.282954000000,570b,ff0000
5983,103.282996600000,5727,0
5984,103.300178400000,56e3,580000
5984,103.300221240000,570b,ff0000
5984,103.300263760000,5727,0
5985,103.317436640000,56e3,570000
5985,103.317479400000,570b,ff0000
5985,103.317521880000,5727,0
5986,103.334703840000,56e3,550000
5986,103.334746640000,570b,ff0000
5986,103.334789160000,5727,0
5987,103.351962120000,56e3,540000
5987,103.352004880000,570b,ff0000
5987,103.352047360000,5727,0
5988,103.369229360000,56e3,530000
5988,103.369272240000,570b,ff0000
5988,103.369314840000,5727,0
5989,103.386487680000,56e3,530000
5989,103.386530440000,570b,ff0000
5989,103.386572920000,5727,0
5990,103.403754760000,56e3,520000
5990,103.403797640000,570b,ff0000
5990,103.403840160000,5727,0
5991,103.421013000000,56e3,520000
5991,103.421055760000,570b,ff0000
5991,103.421098240000,5727,0
5992,103.438280200000,56e3,520000
5992,103.438323040000,570b,ff0000
5992,103.438365600000,5727,0
5993,103.455538400000,56e3,510000
5993,103.455581240000,570b,ff0000
5993,103.455623840000,5727,0
5994,103.472824040000,56e3,510000
5994,103.472866920000,570b,ff0000
5994,103.472909520000,5727,0
5995,103.490063840000,56e3,500000
5995,103.490106600000,570b,ff0000
5995,103.490149080000,5727,0
5996,103.507331200000,56e3,500000
5996,103.507373960000,570b,ff0000
5996,103.507416440000,5727,0
5997,103.524589360000,56e3,4f0000
5997,103.524632120000,570b,ff0000
5997,103.524674600000,5727,0
5998,103.541856720000,56e3,4f0000
5998,103.541899480000,570b,ff0000
5998,103.541942080000,5727,0
5999,103.559114720000,56e3,4f0000
5999,103.559157480000,570b,ff0000
5999,103.559199960000,5727,0
6000,103.576382040000,56e3,4f0000
6000,103.576424880000,570b,ff0000
6000,103.576467440000,5727,0
6001,103.593640160000,56e3,4f0000
6001,103.593683000000,570b,ff0000
6001,103.593725480000,5727,0
6002,103.610907440000,56e3,500000
6002,103.610950200000,570b,ff0000
6002,103.610992720000,5727,0
6003,103.628165560000,56e3,500000
6003,103.628208400000,570b,ff0000
6003,103.628250880000,5727,0
6004,103.645432800000,56e3,500000
6004,103.645475560000,570b,ff0000
6004,103.645518120000,5727,0
6005,103.662691000000,56e3,500000
6005,103.662733760000,570b,ff0000
6005,103.662776280000,5727,0
6006,103.679958360000,56e3,500000
6006,103.680001240000,570b,ff0000
6006,103.680043760000,5727,0
6007,103.697216480000,56e3,4f0000
6007,103.697259240000,570b,ff0000
6007,103.697301720000,5727,0
6008,103.714483680000,56e3,4f0000
6008,103.714526480000,570b,ff0000
6008,103.714568960000,5727,0
6009,103.731741920000,56e3,4e0000
6009,103.731784680000,570b,ff0000
6009,103.731827240000,5727,0
6010,103.749009200000,56e3,4d0000
6010,103.749051960000,570b,ff0000
6010,103.749094520000,5727,0
6011,103.766267400000,56e3,4d0000
6011,103.766310160000,570b,ff0000
6011,103.766352640000,5727,0
6012,103.783534680000,56e3,4d0000
6012,103.783577440000,570b,ff0000
6012,103.783619920000,5727,0
6013,103.800792760000,56e3,4c0000
6013,103.800835520000,570b,ff0000
6013,103.800878000000,5727,0
6014,103.818060160000,56e3,4c0000
6014,103.818103040000,570b,ff0000
6014,103.818145600000,5727,0
6015,103.835318200000,56e3,4c0000
6015,103.835360960000,570b,ff0000
6015,103.835403440000,5727,0
6016,103.852585440000,56e3,4c0000
6016,103.852628200000,570b,ff0000
6016,103.852670680000,5727,0
6017,103.869843640000,56e3,4c0000
6017,103.869886400000,570b,ff0000
6017,103.869929000000,5727,0
6018,103.887111000000,56e3,4c0000
6018,103.887153840000,570b,ff0000
6018,103.887196320000,5727,0
6019,103.904369160000,56e3,4c0000
6019,103.904411920000,570b,ff0000
6019,103.904454480000,5727,0
6020,103.921636320000,56e3,4c0000
6020,103.921679160000,570b,ff0000
6020,103.921721680000,5727,0
6021,103.938894640000,56e3,4b0000
6021,103.938937400000,570b,ff0000
6021,103.938979880000,5727,0
6022,103.956161960000,56e3,4a0000
6022,103.956204840000,570b,ff0000
6022,103.956247400000,5727,0
6023,103.973419960000,56e3,480000
6023,103.973462720000,570b,ff0000
6023,103.973505200000,5727,0
6024,103.990687240000,56e3,470000
6024,103.990730040000,570b,ff0000
6024,103.990772520000,5727,0
6025,104.007945440000,56e3,450000
6025,104.007988200000,570b,ff0000
6025,104.008030680000,5727,0
6026,104.025212720000,56e3,420000
6026,104.025255560000,570b,ff0000
6026,104.025298160000,5727,0
6027,104.042470840000,56e3,400000
6027,104.042513600000,570b,ff0000
6027,104.042556080000,5727,0
6028,104.059738240000,56e3,3d0000
6028,104.059781120000,570b,ff0000
6028,104.059823600000,5727,0
6029,104.076996400000,56e3,3a0000
6029,104.077039160000,570b,ff0000
6029,104.077081760000,5727,0
6030,104.094263640000,56e3,370000
6030,104.094306400000,570b,ff0000
6030,104.094348880000,5727,0
6031,104.111521800000,56e3,330000
6031,104.111564560000,570b,ff0000
6031,104.111607040000,5727,0
6032,104.128789120000,56e3,300000
6032,104.128831960000,570b,ff0000
6032,104.128874520000,5727,0
6033,104.146047280000,56e3,2d0000
6033,104.146090040000,570b,ff0000
6033,104.146132600000,5727,0
6034,104.163314600000,56e3,2a0000
6034,104.163357480000,570b,ff0000
6034,104.163399960000,5727,0
6035,104.180572640000,56e3,270000
6035,104.180615400000,570b,ff0000
6035,104.180657920000,5727,0
6036,104.197839880000,56e3,240000
6036,104.197882640000,570b,ff0000
6036,104.197925240000,5727,0
6037,104.215098200000,56e3,220000
6037,104.215141080000,570b,ff0000
6037,104.215183680000,5727,0
6038,104.232365480000,56e3,200000
6038,104.232408360000,570b,ff0000
6038,104.232450920000,5727,0
6039,104.249623560000,56e3,1f0000
6039,104.249666320000,570b,ff0000
6039,104.249708840000,5727,0
6040,104.266890800000,56e3,1e0000
6040,104.266933680000,570b,ff0000
6040,104.266976160000,5727,0
6041,104.284149000000,56e3,1e0000
6041,104.284191760000,570b,ff0000
6041,104.284234240000,5727,0
6042,104.301416200000,56e3,1d0000
6042,104.301459040000,570b,ff0000
6042,104.301501600000,5727,0
6043,104.318674400000,56e3,1d0000
6043,104.318717280000,570b,ff0000
6043,104.318759760000,5727,0
6044,104.335941640000,56e3,1d0000
6044,104.335984480000,570b,ff0000
6044,104.336027080000,5727,0
6045,104.353199920000,56e3,1d0000
6045,104.353242680000,570b,ff0000
6045,104.353285160000,5727,0
6046,104.370467080000,56e3,1d0000
6046,104.370509920000,570b,ff0000
6046,104.370552480000,5727,0
6047,104.387725360000,56e3,1d0000
6047,104.387768120000,570b,ff0000
6047,104.387810600000,5727,0
6048,104.404992520000,56e3,1e0000
6048,104.405035360000,570b,ff0000
6048,104.405077960000,5727,0
6049,104.422250920000,56e3,1e0000
6049,104.422293680000,570b,ff0000
6049,104.422336160000,5727,0
6050,104.439518000000,56e3,1f0000
6050,104.439560760000,570b,ff0000
6050,104.439603240000,5727,0
6051,104.456794440000,56e3,200000
6051,104.456837200000,570b,ff0000
6051,104.456879680000,5727,0
6052,104.474043480000,56e3,200000
6052,104.474086360000,570b,ff0000
6052,104.474128840000,5727,0
6053,104.491301680000,56e3,220000
6053,104.491344440000,570b,ff0000
6053,104.491386920000,5727,0
6054,104.508568880000,56e3,230000
6054,104.508611760000,570b,ff0000
6054,104.508654240000,5727,0
6055,104.525827080000,56e3,250000
6055,104.525869840000,570b,ff0000
6055,104.525912440000,5727,0
6056,104.543094520000,56e3,270000
6056,104.543137400000,570b,ff0000
6056,104.543179880000,5727,0
6057,104.560352600000,56e3,2a0000
6057,104.560395360000,570b,ff0000
6057,104.560437840000,5727,0
6058,104.577619800000,56e3,2f0000
6058,104.577662680000,570b,ff0000
6058,104.577705280000,5727,0
6059,104.594878000000,56e3,340000
6059,104.594920760000,570b,ff0000
6059,104.594963240000,5727,0
6060,104.612145160000,56e3,3b0000
6060,104.612187920000,570b,ff0000
6060,104.612230440000,5727,0
6061,104.629403440000,56e3,420000
6061,104.629446200000,570b,ff0000
6061,104.629488800000,5727,0
6062,104.646670760000,56e3,4a0000
6062,104.646713600000,570b,ff0000
6062,104.646756080000,5727,0
6063,104.663928880000,56e3,540000
6063,104.663971760000,570b,ff0000
6063,104.664014240000,5727,0
6064,104.681196120000,56e3,5d0000
6064,104.681238880000,570b,ff0000
6064,104.681281360000,5727,0
6065,104.698454240000,56e3,660000
6065,104.698497000000,570b,ff0000
6065,104.698539600000,5727,0
6066,104.715721560000,56e3,700000
6066,104.715764320000,570b,ff0000
6066,104.715806800000,5727,0
6067,104.732979640000,56e3,780000
6067,104.733022520000,570b,ff0000
6067,104.733065000000,5727,0
6068,104.750246920000,56e3,7f0000
6068,104.750289720000,570b,ff0000
6068,104.750332280000,5727,0
6069,104.767505160000,56e3,800000
6069,104.767548040000,570b,ff0000
6069,104.767590520000,5727,0
6070,104.784773160000,56e3,800000
6070,104.784816040000,570b,ff0000
6070,104.784858560000,5727,0
6071,104.802030600000,56e3,800000
6071,104.802073360000,570b,ff0000
6071,104.802115840000,5727,0
6072,104.819297840000,56e3,800000
6072,104.819340680000,570b,ff0000
6072,104.819383160000,5727,0
6073,104.836556000000,56e3,800000
6073,104.836598760000,570b,ff0000
6073,104.836641240000,5727,0
6074,104.853823280000,56e3,830000
6074,104.853866080000,570b,ff0000
6074,104.853908600000,5727,0
6075,104.871081400000,56e3,880000
6075,104.871124160000,570b,ff0000
6075,104.871166640000,5727,0
6076,104.888348760000,56e3,8c0000
6076,104.888391600000,570b,ff0000
6076,104.888434160000,5727,0
6077,104.905606880000,56e3,910000
6077,104.905649640000,570b,ff0000
6077,104.905692240000,5727,0
6078,104.922874240000,56e3,960000
6078,104.922917000000,570b,ff0000
6078,104.922959520000,5727,0
6079,104.940132360000,56e3,9b0000
6079,104.940175240000,570b,ff0000
6079,104.940217840000,5727,0
6080,104.957399720000,56e3,9e0000
6080,104.957442520000,570b,ff0000
6080,104.957485120000,5727,0
6081,104.974657760000,56e3,a10000
6081,104.974700520000,570b,ff0000
6081,104.974743000000,5727,0
6082,104.991925000000,56e3,a40000
6082,104.991967760000,570b,ff0000
6082,104.992010240000,5727,0
6083,105.009183200000,56e3,a50000
6083,105.009226080000,570b,ff0000
6083,105.009268680000,5727,0
6084,105.026450560000,56e3,a60000
6084,105.026493320000,570b,ff0000
6084,105.026535880000,5727,0
6085,105.043708680000,56e3,a50000
6085,105.043751440000,570b,ff0000
6085,105.043794000000,5727,0
6086,105.060975880000,56e3,a50000
6086,105.061018680000,570b,ff0000
6086,105.061061280000,5727,0
6087,105.078234120000,56e3,a30000
6087,105.078276880000,570b,ff0000
6087,105.078319360000,5727,0
6088,105.095501320000,56e3,a10000
6088,105.095544080000,570b,ff0000
6088,105.095586560000,5727,0
6089,105.112759640000,56e3,9e0000
6089,105.112802400000,570b,ff0000
6089,105.112844960000,5727,0
6090,105.130026920000,56e3,9a0000
6090,105.130069720000,570b,ff0000
6090,105.130112240000,5727,0
6091,105.147284920000,56e3,970000
6091,105.147327800000,570b,ff0000
6091,105.147370280000,5727,0
6092,105.164546240000,56e3,920000
6092,105.164589120000,570b,ff0000
6092,105.164631600000,5727,0
6093,105.181816360000,56e3,8e0000
6093,105.181859200000,570b,ff0000
6093,105.181901680000,5727,0
6094,105.199077640000,56e3,8b0000
6094,105.199120480000,570b,ff0000
6094,105.199163000000,5727,0
6095,105.216335840000,56e3,880000
6095,105.216378600000,570b,ff0000
6095,105.216421080000,5727,0
6096,105.233603160000,56e3,860000
6096,105.233645920000,570b,ff0000
6096,105.233688400000,5727,0
6097,105.250861360000,56e3,850000
6097,105.250904120000,570b,ff0000
6097,105.250946600000,5727,0
6098,105.268128640000,56e3,840000
6098,105.268171480000,570b,ff0000
6098,105.268214040000,5727,0
6099,105.285386760000,56e3,830000
6099,105.285429520000,570b,ff0000
6099,105.285472000000,5727,0
6100,105.302653960000,56e3,840000
6100,105.302696720000,570b,ff0000
6100,105.302739240000,5727,0
6101,105.319912240000,56e3,850000
6101,105.319955000000,570b,ff0000
6101,105.319997480000,5727,0
6102,105.337179440000,56e3,870000
6102,105.337222320000,570b,ff0000
6102,105.337264840000,5727,0
6103,105.354437640000,56e3,8b0000
6103,105.354480400000,570b,ff0000
6103,105.354522880000,5727,0
6104,105.371704920000,56e3,8f0000
6104,105.371747680000,570b,ff0000
6104,105.371790160000,5727,0
6105,105.388963040000,56e3,940000
6105,105.389005800000,570b,ff0000
6105,105.389048280000,5727,0
6106,105.406230440000,56e3,9a0000
6106,105.406273280000,570b,ff0000
6106,105.406315840000,5727,0
6107,105.423488480000,56e3,a00000
6107,105.423531240000,570b,ff0000
6107,105.423573720000,5727,0
6108,105.440774040000,56e3,a70000
6108,105.440816800000,570b,ff0000
6108,105.440859400000,5727,0
6109,105.458014000000,56e3,b00000
6109,105.458056880000,570b,ff0000
6109,105.458099480000,5727,0
6110,105.475281160000,56e3,b80000
6110,105.475323920000,570b,ff0000
6110,105.475366400000,5727,0
6111,105.492539400000,56e3,c00000
6111,105.492582160000,570b,ff0000
6111,105.492624680000,5727,0
6112,105.509806720000,56e3,c90000
6112,105.509849600000,570b,ff0000
6112,105.509892160000,5727,0
6113,105.527064840000,56e3,cf0000
6113,105.527107600000,570b,ff0000
6113,105.527150080000,5727,0
6114,105.544332120000,56e3,d50000
6114,105.544374960000,570b,ff0000
6114,105.544417520000,5727,0
6115,105.561590400000,56e3,d90000
6115,105.561633160000,570b,ff0000
6115,105.561675720000,5727,0
6116,105.578857640000,56e3,dc0000
6116,105.578900480000,570b,ff0000
6116,105.578943080000,5727,0
6117,105.596115680000,56e3,dd0000
6117,105.596158560000,570b,ff0000
6117,105.596201160000,5727,0
6118,105.613377000000,56e3,dd0000
6118,105.613419760000,570b,ff0000
6118,105.613462240000,5727,0
6119,105.630647040000,56e3,dc0000
6119,105.630689800000,570b,ff0000
6119,105.630732320000,5727,0
6120,105.647908360000,56e3,da0000
6120,105.647951120000,570b,ff0000
6120,105.647993600000,5727,0
6121,105.665166640000,56e3,d80000
6121,105.665209400000,570b,ff0000
6121,105.665251960000,5727,0
6122,105.682427840000,56e3,d40000
6122,105.682470600000,570b,ff0000
6122,105.682513120000,5727,0
6123,105.699697920000,56e3,d10000
6123,105.699740800000,570b,ff0000
6123,105.699783400000,5727,0
6124,105.716959440000,56e3,cc0000
6124,105.717002240000,570b,ff0000
6124,105.717044840000,5727,0
6125,105.734217440000,56e3,c80000
6125,105.734260200000,570b,ff0000
6125,105.734302720000,5727,0
6126,105.751484720000,56e3,c30000
6126,105.751527600000,570b,ff0000
6126,105.751570080000,5727,0
6127,105.768742880000,56e3,bd0000
6127,105.768785760000,570b,ff0000
6127,105.768828240000,5727,0
6128,105.786010280000,56e3,b70000
6128,105.786053040000,570b,ff0000
6128,105.786095520000,5727,0
6129,105.803268480000,56e3,b10000
6129,105.803311240000,570b,ff0000
6129,105.803353800000,5727,0
6130,105.820535680000,56e3,aa0000
6130,105.820578480000,570b,ff0000
6130,105.820621080000,5727,0
6131,105.837793800000,56e3,a20000
6131,105.837836560000,570b,ff0000
6131,105.837879040000,5727,0
6132,105.855061120000,56e3,9a0000
6132,105.855103920000,570b,ff0000
6132,105.855146480000,5727,0
6133,105.872319320000,56e3,930000
6133,105.872362200000,570b,ff0000
6133,105.872404680000,5727,0
6134,105.889580600000,56e3,8b0000
6134,105.889623360000,570b,ff0000
6134,105.889665840000,5727,0
6135,105.906850640000,56e3,830000
6135,105.906893520000,570b,ff0000
6135,105.906936120000,5727,0
6136,105.924112720000,56e3,800000
6136,105.924155600000,570b,ff0000
6136,105.924198080000,5727,0
6137,105.941370160000,56e3,800000
6137,105.941412920000,570b,ff0000
6137,105.941455400000,5727,0
6138,105.958637560000,56e3,800000
6138,105.958680440000,570b,ff0000
6138,105.958722920000,5727,0
6139,105.975895560000,56e3,800000
6139,105.975938320000,570b,ff0000
6139,105.975980840000,5727,0
6140,105.993162840000,56e3,7f0000
6140,105.993205720000,570b,ff0000
6140,105.993248200000,5727,0
6141,106.010421000000,56e3,780000
6141,106.010463760000,570b,ff0000
6141,106.010506360000,5727,0
6142,106.027688360000,56e3,700000
6142,106.027731120000,570b,ff0000
6142,106.027773680000,5727,0
6143,106.044946360000,56e3,680000
6143,106.044989120000,570b,ff0000
6143,106.045031600000,5727,0
6144,106.062213760000,56e3,600000
6144,106.062256640000,570b,ff0000
6144,106.062299200000,5727,0
6145,106.079471880000,56e3,580000
6145,106.079514640000,570b,ff0000
6145,106.079557120000,5727,0
6146,106.096739080000,56e3,510000
6146,106.096781840000,570b,ff0000
6146,106.096824360000,5727,0
6147,106.113997360000,56e3,4a0000
6147,106.114040240000,570b,ff0000
6147,106.114082720000,5727,0
6148,106.131264640000,56e3,460000
6148,106.131307440000,570b,ff0000
6148,106.131349920000,5727,0
6149,106.148522720000,56e3,420000
6149,106.148565480000,570b,ff0000
6149,106.148607960000,5727,0
6150,106.165790120000,56e3,3f0000
6150,106.165832920000,570b,ff0000
6150,106.165875520000,5727,0
6151,106.183048200000,56e3,3e0000
6151,106.183090960000,570b,ff0000
6151,106.183133480000,5727,0
6152,106.200315440000,56e3,3d0000
6152,106.200358280000,570b,ff0000
6152,106.200400880000,5727,0
6153,106.217573680000,56e3,3c0000
6153,106.217616440000,570b,ff0000
6153,106.217658920000,5727,0
6154,106.234841800000,56e3,3c0000
6154,106.234884640000,570b,ff0000
6154,106.234927160000,5727,0
6155,106.252099120000,56e3,3b0000
6155,106.252141880000,570b,ff0000
