frame,cpu_frame,cpu_time,device_time,scene,scene_frame,scene_time,multiplier,instances,quads,viewport,hash,source_us,assembly_us,hash_us,snapshot_us,guest_cycles,bounds,culled_bounds
3500,3500,61.276243366054,61.276255932721,2117,3500,61.276213399387,3,19,173,0,5da1d15448177cbc,1503.200,4148.600,38.300,0.300,0,1,2700
3501,3501,61.293745799387,61.293758366054,2118,3501,61.293715832720,3,19,173,0,65de35752bdba52d,1418.900,4196.100,38.300,0.400,0,1,2700
3502,3502,61.311248399387,61.311260966054,2119,3502,61.311218432720,3,19,173,0,ef15e3feea5361d3,1409.400,4213.900,38.300,0.400,0,1,2700
3503,3503,61.328751066053,61.328763632720,2120,3503,61.328721099387,3,19,173,0,c3c2363c03f252b6,1387.600,4267.500,38.300,0.500,0,1,2700
3504,3504,61.346253299387,61.346265866053,2121,3504,61.346223332720,3,19,173,0,0e4ee00e2fccf4eb,1379.000,4121.800,38.300,0.400,0,1,2700
3505,3505,61.363755766053,61.363768332720,2122,3505,61.363725799386,3,19,173,0,e7c4153e10706596,1381.000,4188.400,38.300,0.400,0,1,2700
3506,3506,61.381258199386,61.381270766053,2123,3506,61.381228232720,3,19,173,0,d848a7e7f2786eab,1444.200,4201.600,38.300,0.400,0,1,2700
3507,3507,61.398760632719,61.398773199386,2124,3507,61.398730666053,3,19,173,0,fb9f1181847c1335,1426.100,4145.600,38.300,0.300,0,1,2700
3508,3508,61.416263232719,61.416275799386,2125,3508,61.416233266053,3,19,173,0,4d2690e754fe5d3b,1428.200,4246.400,38.300,0.500,0,1,2700
3509,3509,61.433765566052,61.433778132719,2126,3509,61.433735599386,3,19,173,0,8ecad26ba6124edc,1488.300,4214.900,38.300,0.500,0,1,2700
3510,3510,61.451268099385,61.451280666052,2127,3510,61.451238132719,3,19,173,0,4a364318d9ff4322,1404.600,4173.900,38.300,0.300,0,1,2700
3511,3511,61.468770932719,61.468783499385,2128,3511,61.468740966052,3,19,173,0,7683aaeba9638ad5,1420.700,4145.600,38.300,0.400,0,1,2700
3512,3512,61.486273699385,61.486286266052,2129,3512,61.486243732718,3,19,173,0,55e76d4b01001387,1430.000,4092.200,38.300,0.500,0,1,2700
3513,3513,61.503775532718,61.503788099385,2130,3513,61.503745566052,3,19,173,0,ee1c09fc1772c04e,1407.800,4275.600,38.300,0.400,0,1,2700
3514,3514,61.521277999385,61.521290566051,2131,3514,61.521248032718,3,19,173,0,5d8d6ed2318b22fe,1455.900,4214.600,38.300,0.500,0,1,2700
3515,3515,61.538780466051,61.538793032718,2132,3515,61.538750499385,3,19,173,0,92f253fff2ca1d7e,1436.500,4183.200,85.400,0.500,0,1,2700
3516,3516,61.556282999384,61.556295566051,2133,3516,61.556253032718,3,19,173,0,c6350a476e9f983a,1470.400,4246.600,38.300,0.400,0,1,2700
3517,3517,61.573785332718,61.573797899384,2134,3517,61.573755366051,3,19,173,0,7b1a9b68f25a3f8b,1469.200,4225.000,38.300,0.600,0,1,2700
3518,3518,61.591287832717,61.591300399384,2135,3518,61.591257866051,3,19,173,0,791b7f35fec9cd82,1421.100,4053.500,38.300,0.400,0,1,2700
3519,3519,61.608790666051,61.608803232717,2136,3519,61.608760699384,3,19,173,0,e861e4721f096ce1,1419.600,4058.100,38.400,0.800,0,1,2700
3520,3520,61.626292866050,61.626305432717,2137,3520,61.626262899384,3,19,173,0,b014a22cd4d81999,1443.500,4135.900,39.500,0.500,0,1,2700
3521,3521,61.643795366050,61.643807932717,2138,3521,61.643765399384,3,19,173,0,68b31dccda9fadbc,1424.600,4048.400,38.300,0.300,0,1,2700
3522,3522,61.661297799383,61.661310366050,2139,3522,61.661267832717,3,19,173,0,784f4791463f7064,1421.200,4121.700,38.300,0.400,0,1,2700
3523,3523,61.678800266050,61.678812832717,2140,3523,61.678770299383,3,19,173,0,6eec98fd56b37e82,1397.100,4064.200,38.300,0.300,0,1,2700
3524,3524,61.696302699383,61.696315266050,2141,3524,61.696272732716,3,19,173,0,51a0c20038811827,1412.400,4126.500,38.300,0.500,0,1,2700
3525,3525,61.713805166050,61.713817732716,2142,3525,61.713775199383,3,19,173,0,6724c5b5cd3cef35,1618.100,4247.200,38.300,0.700,0,1,2700
3526,3526,61.731307699383,61.731320266049,2143,3526,61.731277732716,3,19,173,0,bd38ac1641e8564d,1528.600,4152.300,38.300,0.900,0,1,2700
3527,3527,61.748810532716,61.748823099383,2144,3527,61.748780566049,3,19,173,0,3bb708005e51906b,1407.200,4075.000,38.400,0.300,0,1,2700
3528,3528,61.766312632716,61.766325199382,2145,3528,61.766282666049,3,19,173,0,04eb118edadea7eb,1412.200,4162.600,38.300,0.300,0,1,2700
3529,3529,61.783815099382,61.783827666049,2146,3529,61.783785132715,3,19,173,0,a7f232ad304f8521,1401.600,4036.400,38.300,0.300,0,1,2700
3530,3530,61.801317499382,61.801330066049,2147,3530,61.801287532715,3,19,173,0,f605a7cf4092b3d1,1431.300,4189.400,38.300,0.500,0,1,2700
3531,3531,61.818820066048,61.818832632715,2148,3531,61.818790099382,3,19,173,0,c7033f26d578f777,1392.200,4266.500,38.400,0.400,0,1,2700
