frame,cpu_frame,cpu_time,device_time,scene,scene_frame,scene_time,multiplier,instances,quads,viewport,hash,source_us,assembly_us,hash_us,snapshot_us,guest_cycles,bounds,culled_bounds
3501,3501,61.293801432720,61.293805532720,2112,3501,61.293717199387,1,11,84,0,6886a84677e39d68,1225.900,1153.800,18.600,0.600,0,1,313
3502,3502,61.311303899387,61.311307999387,2113,3502,61.311219666054,1,12,82,0,c03b8ce2cea541c1,970.900,1134.400,18.200,0.500,0,1,312
3503,3503,61.328806699387,61.328810799387,2114,3503,61.328722466053,1,12,72,0,19a01bf09d8f3e13,961.100,1126.900,16.000,0.400,0,1,313
3504,3504,61.346308866053,61.346312966053,2115,3504,61.346224632720,1,13,81,0,536ea1f92cff5731,1007.400,1130.800,18.000,0.500,0,1,311
3505,3505,61.363814566053,61.363818666053,2116,3505,61.363727166053,1,13,81,0,863f53e1e661ec51,990.500,1124.400,17.900,0.300,0,1,311
3506,3506,61.381320932720,61.381325032720,2117,3506,61.381229532720,1,12,76,0,32434690ecddf281,975.500,1132.400,16.900,0.600,0,1,311
3507,3507,61.398823466053,61.398827566053,2118,3507,61.398732066053,1,13,82,0,848d8efd4904cd05,1022.600,1163.900,18.200,0.500,0,1,309
3508,3508,61.416327966052,61.416332066053,2119,3508,61.416234566053,1,11,83,0,29c78142cd8f51dc,959.000,1131.000,18.400,0.500,0,1,309
3509,3509,61.433830332719,61.433834432719,2120,3509,61.433736932719,1,12,94,0,9572701df46a57af,981.100,1137.000,20.800,0.500,0,1,309
3510,3510,61.451334932719,61.451339032719,2121,3510,61.451239532719,1,12,91,0,f9617471d027ee46,1060.000,1136.500,20.200,0.500,0,1,308
3512,3512,61.486341832718,61.486345932718,2122,3512,61.486244432718,1,10,55,0,2ba7a303c9f08961,967.800,1220.900,12.200,0.500,0,1,307
3513,3513,61.503844366052,61.503848466052,2123,3513,61.503746966052,1,12,68,0,b564972ca2ac41c0,976.700,1146.200,15.100,0.300,0,1,301
3514,3514,61.521346732718,61.521350832718,2124,3514,61.521249332718,1,11,68,0,87b05c5b9e9247fb,986.800,1142.700,15.100,0.400,0,1,302
3515,3515,61.538846932718,61.538851032718,2125,3515,61.538751866051,1,12,59,0,f675fe9e0721264c,986.100,1112.700,13.100,0.700,0,1,301
3516,3516,61.556349399384,61.556353499384,2126,3516,61.556254332718,1,14,74,0,fff551683ad19feb,981.600,1115.400,16.400,0.400,0,1,300
3517,3517,61.573787232718,61.573799799384,2127,3517,61.573756832718,1,11,95,0,0cf5f2f883926ac7,1097.800,1169.500,21.100,0.400,0,1,302
3518,3518,61.591289599384,61.591302266051,2128,3518,61.591259199384,1,12,123,0,3ac82ba35d2fabd4,1141.700,1137.800,27.300,0.500,0,1,301
3519,3519,61.608839132717,61.608843232717,2129,3519,61.608762066051,1,10,187,0,5d1e9881d884e2a7,957.800,1127.000,41.400,0.500,0,1,301
3520,3520,61.626294566050,61.626307232717,2130,3520,61.626264166050,1,8,99,0,e326adf1edccdef9,979.100,1152.700,21.900,0.500,0,1,306
3521,3521,61.643843732717,61.643847832717,2131,3521,61.643766666050,1,10,133,0,dcdf61db5302e706,1086.000,1147.500,29.400,0.600,0,1,307
3522,3522,61.661346232717,61.661350332717,2132,3522,61.661269166050,1,9,128,0,f85ce0d0e71ecb50,1140.900,1134.200,28.400,0.600,0,1,308
3523,3523,61.678848666050,61.678852766050,2133,3523,61.678771599383,1,7,101,0,154ef9014ec22f0a,1017.500,1165.800,22.600,0.400,0,1,307
3524,3524,61.696351199383,61.696355299383,2134,3524,61.696274132716,1,6,83,0,a927f8842054b37b,1091.900,1095.500,18.400,0.500,0,1,307
3525,3525,61.713855899383,61.713859999383,2135,3525,61.713776499383,1,7,92,0,c5ab8c3efd541eb2,1120.200,1148.100,20.700,0.500,0,1,309
3526,3526,61.731358332716,61.731362432716,2136,3526,61.731278932716,1,8,90,0,0a5918cc006ed391,965.300,1110.900,19.900,0.600,0,1,309
3527,3527,61.748861266049,61.748865366049,2137,3527,61.748781866049,1,5,71,0,653db70a9dd3cfc1,1002.900,1098.600,15.800,0.600,0,1,310
3528,3528,61.766365432716,61.766369532716,2138,3528,61.766284032716,1,6,81,0,d8ead881ac75c6c2,1004.500,1157.900,18.000,1.100,0,1,313
3529,3529,61.783867866049,61.783871966049,2139,3529,61.783786466049,1,6,79,0,fd8844c29d2535d4,995.900,1140.500,17.500,0.500,0,1,314
3530,3530,61.801372366049,61.801376466049,2140,3530,61.801288966049,1,5,78,0,23f87491932ea222,984.700,1195.000,17.400,0.400,0,1,318
3531,3531,61.818878732715,61.818882832715,2141,3531,61.818791332715,1,5,75,0,7fad012790d25c0b,971.100,1118.000,16.700,0.400,0,1,318
3532,3532,61.836381266048,61.836385366048,2142,3532,61.836293866048,1,6,88,0,f9630de91b748448,971.700,1116.700,19.500,0.200,0,1,318
3533,3533,61.853883632715,61.853887732715,2143,3533,61.853796232715,1,7,159,0,b6efd14dc16dfef1,1090.300,1262.900,35.200,1.600,0,1,318
3534,3534,61.871386166048,61.871390266048,2144,3534,61.871298766048,1,7,150,0,766b2d18169403e0,1213.600,1198.200,33.200,0.600,0,1,318
3535,3535,61.888890999381,61.888895099381,2145,3535,61.888801599381,1,6,128,0,a3588622491b15df,958.200,1142.000,28.300,0.400,0,1,318
3536,3536,61.906389566048,61.906393666048,2146,3536,61.906303666048,1,5,76,0,b68f1b174693a393,1014.300,1160.500,16.800,0.600,0,1,321
3537,3537,61.923884032714,61.923888132714,2147,3537,61.923806132714,1,6,87,0,a7b425ef0fdfee67,1010.600,1175.700,19.300,0.500,0,1,322
3538,3538,61.941339132714,61.941351799381,2148,3538,61.941308732714,1,5,85,0,4a7d328af90dc4ba,988.600,1123.000,18.900,0.400,0,1,324
3539,3539,61.958886966047,61.958891066047,2149,3539,61.958811066047,1,5,85,0,e2b17a445f72cff4,1232.200,1251.300,24.100,1.000,0,1,326
3540,3540,61.976389499380,61.976393599380,2150,3540,61.976313599380,1,4,51,0,87c1493c5fe9baa6,1101.000,1233.100,11.300,0.500,0,1,330
3542,3542,62.011394532713,62.011398632713,2151,3542,62.011318632713,1,5,50,0,a657d25391402c1f,1022.000,1144.700,11.100,0.500,0,1,334
3543,3543,62.028897299380,62.028901399380,2152,3543,62.028821399380,1,5,46,0,db624037ac12ff11,992.300,1147.000,10.200,0.400,0,1,337
3544,3544,62.046399432713,62.046403532713,2153,3544,62.046323532713,1,4,36,0,ba5f48b4bb063fc3,989.600,1121.300,8.000,0.400,0,1,340
3545,3545,62.063901832713,62.063905932713,2154,3545,62.063825932713,1,4,36,0,a76e66436d40c1e7,971.000,1200.500,8.000,0.700,0,1,345
3546,3546,62.081403232713,62.081407332713,2155,3546,62.081328499379,1,7,111,0,98bc6d9be8c7189a,973.900,1190.700,24.700,0.500,0,1,346
3547,3547,62.098905566046,62.098909666046,2156,3547,62.098830832712,1,7,109,0,1c9f8926b4644e51,991.100,1179.500,24.100,0.500,0,1,346
3548,3548,62.116408166046,62.116412266046,2157,3548,62.116333432712,1,10,157,0,3c43e0ee286ed67e,999.100,1186.800,34.800,0.400,0,1,346
3549,3549,62.133921832712,62.133925932712,2158,3549,62.133847099379,1,8,115,0,ffe7080f351a47e9,981.800,1169.200,25.500,0.900,0,1,350
3550,3550,62.151413066045,62.151417166045,2159,3550,62.151338332712,1,10,142,0,215d364c9c46b1a0,987.400,1164.100,31.400,0.700,0,1,352
3551,3551,62.168915832712,62.168919932712,2160,3551,62.168841099378,1,7,142,0,cb682f791e022f51,980.600,1171.700,31.400,0.300,0,1,351
3552,3552,62.186417966045,62.186422066045,2161,3552,62.186343232711,1,6,91,0,9750e50e430529ec,1044.300,1231.500,20.100,0.900,0,1,357
3553,3553,62.203920432711,62.203924532711,2162,3553,62.203845699378,1,5,81,0,df09ee19830174ca,972.600,1165.800,17.900,0.400,0,1,361
3554,3554,62.221422999378,62.221427099378,2163,3554,62.221348266044,1,7,120,0,d78520c9c9118827,980.500,1178.600,26.600,0.500,0,1,364
3555,3555,62.238881066044,62.238893732711,2164,3555,62.238850666044,1,6,110,0,564f78818276fc99,1003.300,1206.700,24.400,0.500,0,1,365
3556,3556,62.256427899377,62.256431999377,2165,3556,62.256353166044,1,8,129,0,537a6826431de8bc,977.200,1192.300,28.600,0.500,0,1,369
3557,3557,62.273930432711,62.273934532711,2166,3557,62.273855699377,1,8,96,0,5a773e73bb81a62e,1052.300,1234.100,21.300,1.000,0,1,372
3558,3558,62.291432832710,62.291436932710,2167,3558,62.291358099377,1,12,130,0,7cfdb6563159b40c,976.400,1304.200,33.200,0.600,0,1,372
3559,3559,62.308935766044,62.308939866044,2168,3559,62.308861032710,1,11,190,0,b1059dac73360e72,1021.300,1381.400,42.000,0.500,0,1,370
3560,3560,62.326393466043,62.326406132710,2169,3560,62.326363066043,1,8,99,0,69bca5e694bf1f00,983.400,1183.300,22.000,0.400,0,1,372
3561,3561,62.343895832710,62.343908399377,2170,3561,62.343865432710,1,8,88,0,f26dca1d4243b498,981.300,1182.200,19.500,0.400,0,1,375
3562,3562,62.361396832710,62.361410999376,2171,3562,62.361368032710,1,10,170,0,2c023eb40e9adb27,1029.400,1228.500,37.600,0.600,0,1,374
3563,3563,62.378900799376,62.378913466043,2172,3563,62.378870399376,1,12,92,0,89c1d4ef54100218,1003.600,1180.400,20.400,0.400,0,1,376
3564,3564,62.396403266043,62.396415932709,2173,3564,62.396372866043,1,10,75,0,576b2a8da7c35d02,989.900,1219.300,16.600,0.500,0,1,378
3565,3565,62.413950066043,62.413954166043,2174,3565,62.413875332709,1,13,123,0,88b0af1dbb56e557,981.800,1180.000,27.200,0.500,0,1,372
