frame,emulated_seconds,host_seconds
1,0.017502471249,0.005222000
2,0.035004942498,0.031511100
3,0.052507413746,0.048527400
4,0.070009884995,0.067859500
5,0.087512356244,0.092680400
6,0.105014827493,0.109752600
7,0.122517298741,0.126088200
8,0.140019769990,0.157079400
9,0.157522241239,0.172304200
10,0.175024712488,0.190866900
11,0.192527183736,0.207125700
12,0.210029654985,0.223931600
13,0.227532126234,0.251314200
14,0.245034597483,0.267535400
15,0.262537068731,0.284044800
16,0.280039539980,0.300267400
17,0.297542011229,0.316076300
18,0.315044482478,0.329895000
19,0.332546953727,0.345983300
20,0.350049424975,0.366002000
21,0.367551896224,0.384099400
22,0.385054367473,0.401980700
23,0.402556838722,0.419303800
24,0.420059309970,0.435890600
25,0.437561781219,0.452808300
26,0.455064252468,0.469487000
27,0.472566723717,0.487227600
28,0.490069194965,0.506084100
29,0.507571666214,0.523236900
30,0.525074137463,0.541430700
31,0.542576608712,0.561212500
32,0.560079079960,0.579746300
33,0.577581551209,0.596456200
34,0.595084022458,0.613613500
35,0.612586493707,0.632474000
36,0.630088964956,0.647764200
37,0.647591436204,0.666293700
38,0.665093907453,0.682605300
39,0.682596378702,0.699960900
40,0.700098849951,0.717589000
41,0.717601321199,0.734980300
42,0.735103792448,0.752662300
43,0.752606263697,0.770302300
44,0.770108734946,0.787605300
45,0.787611206194,0.804786100
46,0.805113677443,0.822481000
47,0.822616148692,0.841235200
48,0.840118619941,0.857374700
49,0.857621091189,0.874523100
50,0.875123562438,0.892747200
51,0.892626033687,0.911178100
52,0.910128504936,0.928102800
53,0.927630976185,0.947558800
54,0.945133447433,0.962365600
55,0.962635918682,0.980898200
56,0.980138389931,0.997720000
57,0.997640861180,1.016170400
58,1.015143332428,1.034166700
59,1.032645803677,1.051114400
60,1.050148274926,1.068584600
61,1.067650746175,1.085588300
62,1.085153217423,1.102335600
63,1.102655688672,1.120144800
64,1.120158159921,1.137998200
65,1.137660631170,1.155445800
66,1.155163102418,1.173084400
67,1.172665573667,1.189967500
68,1.190168044916,1.207957000
69,1.207670516165,1.224767000
70,1.225172987414,1.243354700
71,1.242675458662,1.262071700
72,1.260177929911,1.280092000
73,1.277680401160,1.296885200
74,1.295182872409,1.313670000
75,1.312685343657,1.330678300
76,1.330187814906,1.347453800
77,1.347690286155,1.364755700
78,1.365192757404,1.382202400
79,1.382695228652,1.399978500
80,1.400197699901,1.417522400
81,1.417700171150,1.434724700
82,1.435202642399,1.452455500
83,1.452705113647,1.470156300
84,1.470207584896,1.487513100
85,1.487710056145,1.504858500
86,1.505212527394,1.522485500
87,1.522714998642,1.540252100
88,1.540217469891,1.558156000
89,1.557719941140,1.575260600
90,1.575222412389,1.593104400
91,1.592724883638,1.610846400
92,1.610227354886,1.628468800
93,1.627729826135,1.647926000
94,1.645232297384,1.663927500
95,1.662734768633,1.680682700
96,1.680237239881,1.697407700
97,1.697739711130,1.715896400
98,1.715242182379,1.732306000
99,1.732744653628,1.749785100
100,1.750247124876,1.767590600
101,1.767749596125,1.785134200
102,1.785252067374,1.802905600
103,1.802754538623,1.820361000
104,1.820257009871,1.838332900
105,1.837759481120,1.855027300
106,1.855261952369,1.872677800
107,1.872764423618,1.890059700
108,1.890266894867,1.908033600
109,1.907769366115,1.925390700
110,1.925271837364,1.942946200
111,1.942774308613,1.961110800
112,1.960276779862,1.977439000
113,1.977779251110,1.996769000
114,1.995281722359,2.013896200
115,2.012784193608,2.030374700
116,2.030286664857,2.047673800
117,2.047789136105,2.065090900
118,2.065291607354,2.082764900
119,2.082794078603,2.100061900
120,2.100296549852,2.117903500
121,2.117799021100,2.135401100
122,2.135301492349,2.154790400
123,2.152803963598,2.170167300
124,2.170306434847,2.187567200
125,2.187808906096,2.205062800
126,2.205311377344,2.222452800
127,2.222813848593,2.240396600
128,2.240316319842,2.259308500
129,2.257818791091,2.275691800
130,2.275321262339,2.292658100
131,2.292823733588,2.310758200
132,2.310326204837,2.328239600
133,2.327828676086,2.346699900
134,2.345331147334,2.363820300
135,2.362833618583,2.380540900
136,2.380336089832,2.397881100
137,2.397838561081,2.415217400
138,2.415341032329,2.432664100
139,2.432843503578,2.449985200
140,2.450345974827,2.467455000
141,2.467848446076,2.484873000
142,2.485350917325,2.502505400
143,2.502853388573,2.520307300
144,2.520355859822,2.537588100
145,2.537858331071,2.555493700
146,2.555360802320,2.573033300
147,2.572863273568,2.590010600
148,2.590365744817,2.607492100
149,2.607868216066,2.625014200
150,2.625370687315,2.643457200
151,2.642873158563,2.661012300
152,2.660375629812,2.678328000
153,2.677878101061,2.696891300
154,2.695380572310,2.713895700
155,2.712883043558,2.730493800
156,2.730385514807,2.747982300
157,2.747887986056,2.765176100
158,2.765390457305,2.784188500
159,2.782892928554,2.800383800
160,2.800395399802,2.817923300
161,2.817897871051,2.835852000
162,2.835400342300,2.853400400
163,2.852902813549,2.870806700
164,2.870405284797,2.887638800
165,2.887907756046,2.906494700
166,2.905410227295,2.922990000
167,2.922912698544,2.940641900
168,2.940415169792,2.958645800
169,2.957917641041,2.975960700
170,2.975420112290,2.993311400
171,2.992922583539,3.010754500
172,3.010425054787,3.030002900
173,3.027927526036,3.047676000
174,3.045429997285,3.064371900
175,3.062932468534,3.080568300
176,3.080434939783,3.097434900
177,3.097937411031,3.114958500
178,3.115439882280,3.132726700
179,3.132942353529,3.150679400
180,3.150444824778,3.168165100
181,3.167947296026,3.185078800
182,3.185449767275,3.202691900
183,3.202952238524,3.220067100
184,3.220454709773,3.237480100
185,3.237957181021,3.255064300
186,3.255459652270,3.272771100
187,3.272962123519,3.290771100
188,3.290464594768,3.309511000
189,3.307967066016,3.325641700
190,3.325469537265,3.342540700
191,3.342972008514,3.361131700
192,3.360474479763,3.378264300
193,3.377976951012,3.397130300
194,3.395479422260,3.413912400
195,3.412981893509,3.430611400
196,3.430484364758,3.447641300
197,3.447986836007,3.465072300
198,3.465489307255,3.482596200
199,3.482991778504,3.500191700
200,3.500494249753,3.517695300
201,3.517996721002,3.535401900
202,3.535499192250,3.552966100
203,3.553001663499,3.570926800
204,3.570504134748,3.587919300
205,3.588006605997,3.605703900
206,3.605509077245,3.622686700
207,3.623011548494,3.640326200
208,3.640514019743,3.657565300
209,3.658016490992,3.675184300
210,3.675518962241,3.693272100
211,3.693021433489,3.714622600
212,3.710523904738,3.730473200
213,3.728026375987,3.747139600
214,3.745528847236,3.763601900
215,3.763031318484,3.780573000
216,3.780533789733,3.797699800
217,3.798036260982,3.815475400
218,3.815538732231,3.832853000
219,3.833041203479,3.850445300
220,3.850543674728,3.869568400
221,3.868046145977,3.885043200
222,3.885548617226,3.902989200
223,3.903051088474,3.920364600
224,3.920553559723,3.938581500
225,3.938056030972,3.955931500
226,3.955558502221,3.973463000
227,3.973060973470,3.990707400
228,3.990563444718,4.007904300
229,4.008065915967,4.025915400
230,4.025568387216,4.043162100
231,4.043070858465,4.061050800
232,4.060573329713,4.080249000
233,4.078075800962,4.097454900
234,4.095578272211,4.113814500
235,4.113080743460,4.130610500
236,4.130583214708,4.148179700
237,4.148085685957,4.166367800
238,4.165588157206,4.183258600
239,4.183090628455,4.200324300
240,4.200593099703,4.217476700
241,4.218095570952,4.235620800
242,4.235598042201,4.252755700
243,4.253100513450,4.270212300
244,4.270602984699,4.287988900
245,4.288105455947,4.305748600
246,4.305607927196,4.323527200
247,4.323110398445,4.340846400
248,4.340612869694,4.357917800
249,4.358115340942,4.374406600
250,4.375617812191,4.391958900
251,4.393120283440,4.409857700
252,4.410622754689,4.427506900
253,4.428125225937,4.446159900
254,4.445627697186,4.462921900
255,4.463130168435,4.479326300
256,4.480632639684,4.497037400
257,4.498135110932,4.514444700
258,4.515637582181,4.532609700
259,4.533140053430,4.549681700
260,4.550642524679,4.567620400
261,4.568144995927,4.584109700
262,4.585647467176,4.601782200
263,4.603149938425,4.619742900
264,4.620652409674,4.637062300
265,4.638154880923,4.654499700
266,4.655657352171,4.671788400
267,4.673159823420,4.689717400
268,4.690662294669,4.706922600
269,4.708164765918,4.724399800
270,4.725667237166,4.741918100
271,4.743169708415,4.759917600
272,4.760672179664,4.777311300
273,4.778174650913,4.795786300
274,4.795677122161,4.813001700
275,4.813179593410,4.830080700
276,4.830682064659,4.846892500
277,4.848184535908,4.864975800
278,4.865687007156,4.882137700
279,4.883189478405,4.900143300
280,4.900691949654,4.916878900
281,4.918194420903,4.934550500
282,4.935696892152,4.952104400
283,4.953199363400,4.970943700
284,4.970701834649,4.987017600
285,4.988204305898,5.004787000
286,5.005706777147,5.021848000
287,5.023209248395,5.039579900
288,5.040711719644,5.057002900
289,5.058214190893,5.075077200
290,5.075716662142,5.092656000
291,5.093219133390,5.111246200
292,5.110721604639,5.129899300
293,5.128224075888,5.147118200
294,5.145726547137,5.164305200
295,5.163229018385,5.182222300
296,5.180731489634,5.197950900
297,5.198233960883,5.215474900
298,5.215736432132,5.232328000
299,5.233238903381,5.249809700
300,5.250741374629,5.268407200
301,5.268243845878,5.284963900
302,5.285746317127,5.302339600
303,5.303248788376,5.319757400
304,5.320751259624,5.337348900
305,5.338253730873,5.355156700
306,5.355756202122,5.372409000
307,5.373258673371,5.389789200
308,5.390761144619,5.407793900
309,5.408263615868,5.426517000
310,5.425766087117,5.443576100
311,5.443268558366,5.460617700
312,5.460771029614,5.479965500
313,5.478273500863,5.496493500
314,5.495775972112,5.513351900
315,5.513278443361,5.530243200
316,5.530780914610,5.547532300
317,5.548283385858,5.566086800
318,5.565785857107,5.583176500
319,5.583288328356,5.599672800
320,5.600790799605,5.619218500
321,5.618293270853,5.634811700
322,5.635795742102,5.652555300
323,5.653298213351,5.671127400
324,5.670800684600,5.687111000
325,5.688303155848,5.706047100
326,5.705805627097,5.723845900
327,5.723308098346,5.740757900
328,5.740810569595,5.757945400
329,5.758313040843,5.775100600
330,5.775815512092,5.792934700
331,5.793317983341,5.810713100
332,5.810820454590,5.829757400
333,5.828322925839,5.846376600
334,5.845825397087,5.863100100
335,5.863327868336,5.880675800
336,5.880830339585,5.898942900
337,5.898332810834,5.914605700
338,5.915835282082,5.932959200
339,5.933337753331,5.949962200
340,5.950840224580,5.967329500
341,5.968342695829,5.986129400
342,5.985845167077,6.002353400
343,6.003347638326,6.019783600
344,6.020850109575,6.037175400
345,6.038352580824,6.054651900
346,6.055855052072,6.072053300
347,6.073357523321,6.089739900
348,6.090859994570,6.107457100
349,6.108362465819,6.124693800
350,6.125864937068,6.142361600
351,6.143367408316,6.160894900
352,6.160869879565,6.179814900
353,6.178372350814,6.196620300
354,6.195874822063,6.213737700
355,6.213377293311,6.229860200
356,6.230879764560,6.247305300
357,6.248382235809,6.265266900
358,6.265884707058,6.282653300
359,6.283387178306,6.300038200
360,6.300889649555,6.317997600
361,6.318392120804,6.335236600
362,6.335894592053,6.352659300
363,6.353397063301,6.370704000
364,6.370899534550,6.387621900
365,6.388402005799,6.405410100
366,6.405904477048,6.422184700
367,6.423406948297,6.440103800
368,6.440909419545,6.457674200
369,6.458411890794,6.477673400
370,6.475914362043,6.493216000
371,6.493416833292,6.510962100
372,6.510919304540,6.530059400
373,6.528421775789,6.546240300
374,6.545924247038,6.564231600
375,6.563426718287,6.579868000
376,6.580929189535,6.597293000
377,6.598431660784,6.614635600
378,6.615934132033,6.632591000
379,6.633436603282,6.649911200
380,6.650939074530,6.667794600
381,6.668441545779,6.687344500
382,6.685944017028,6.702622900
383,6.703446488277,6.720095300
384,6.720948959526,6.737366600
385,6.738451430774,6.755055000
386,6.755953902023,6.772599000
387,6.773456373272,6.791946600
388,6.790958844521,6.808544400
389,6.808461315769,6.825782000
390,6.825963787018,6.844273000
391,6.843466258267,6.860794500
392,6.860968729516,6.879788100
393,6.878471200764,6.898095900
394,6.895973672013,6.914263600
395,6.913476143262,6.930610500
396,6.930978614511,6.948522600
397,6.948481085759,6.965687100
398,6.965983557008,6.982569300
399,6.983486028257,7.000353300
400,7.000988499506,7.018290600
401,7.018490970755,7.034962000
402,7.035993442003,7.053554400
403,7.053495913252,7.071938900
404,7.070998384501,7.088288500
405,7.088500855750,7.105109800
406,7.106003326998,7.122481200
407,7.123505798247,7.141627400
408,7.141008269496,7.159932000
409,7.158510740745,7.175287800
410,7.176013211993,7.196667000
411,7.193515683242,7.212971300
412,7.211018154491,7.229906000
413,7.228520625740,7.246278900
414,7.246023096988,7.262958700
415,7.263525568237,7.279681800
416,7.281028039486,7.297493900
417,7.298530510735,7.315136800
418,7.316032981984,7.332790300
419,7.333535453232,7.349680000
420,7.351037924481,7.367620600
421,7.368540395730,7.385002200
422,7.386042866979,7.402458700
423,7.403545338227,7.420046700
424,7.421047809476,7.437344200
