scene,frame,model_id,cpu_time,device_time,ordinary_end,after_cpu_end
11,5080,2,88.930172232444,88.93017569911069,88.931900632444,False
11,5080,3,88.930181632444,88.93019803244403,88.931900632444,False
11,5080,4,88.930192332444,88.93019936577737,88.931900632444,False
11,5080,5,88.930200765777,88.93022086577736,88.931900632444,False
11,5080,6,88.930206699111,88.93022126577736,88.931900632444,False
11,5080,7,88.930210765777,88.93022166577737,88.931900632444,False
11,5080,8,88.930217465777,88.9302229991107,88.931900632444,False
11,5080,9,88.930232399111,88.93024533244403,88.931900632444,False
11,5080,10,88.930236699111,88.93024606577737,88.931900632444,False
11,5080,11,88.930240765777,88.93024646577736,88.931900632444,False
11,5080,12,88.930250865777,88.93026786577737,88.931900632444,False
11,5080,13,88.930265299111,88.9302691991107,88.931900632444,False
11,5080,14,88.930281299111,88.93029163244402,88.931900632444,False
11,5080,15,88.930312665777,88.9303141991107,88.931900632444,False
11,5080,16,88.930318832444,88.9303356991107,88.931900632444,False
11,5080,17,88.930338065777,88.9303570991107,88.931900632444,False
11,5080,18,88.930359399111,88.93037883244403,88.931900632444,False
11,5080,19,88.930370932444,88.93037923244403,88.931900632444,False
11,5080,20,88.930385299111,88.93040063244403,88.931900632444,False
11,5080,21,88.930389599111,88.93040136577736,88.931900632444,False
11,5080,22,88.930393899111,88.9304020991107,88.931900632444,False
11,5080,23,88.930406299111,88.93042443244403,88.931900632444,False
11,5080,24,88.930413265777,88.93042576577736,88.931900632444,False
11,5080,25,88.930419432444,88.9304264991107,88.931900632444,False
11,5080,26,88.930430699111,88.93044833244403,88.931900632444,False
11,5080,27,88.930440365777,88.93044873244403,88.931900632444,False
11,5080,28,88.930446299111,88.93044913244402,88.931900632444,False
11,5080,29,88.930455465777,88.93047053244403,88.931900632444,False
11,5080,30,88.930459532444,88.93047093244402,88.931900632444,False
11,5080,31,88.930463599111,88.93047133244403,88.931900632444,False
11,5080,32,88.930467665777,88.93047173244403,88.931900632444,False
11,5080,33,88.930485399111,88.93049406577737,88.931900632444,False
11,5080,34,88.930499132444,88.9305163991107,88.931900632444,False
11,5080,35,88.930503199111,88.93051679911069,88.931900632444,False
11,5080,36,88.930509132444,88.9305171991107,88.931900632444,False
11,5080,37,88.930513199111,88.9305175991107,88.931900632444,False
11,5080,38,88.930521499111,88.9305389991107,88.931900632444,False
11,5080,39,88.930525799111,88.93053973244403,88.931900632444,False
11,5080,40,88.930529865777,88.93054013244402,88.931900632444,False
11,5080,41,88.930534165777,88.93054086577736,88.931900632444,False
11,5080,42,88.930545099111,88.93056329911069,88.931900632444,False
11,5080,43,88.930552065777,88.93056463244403,88.931900632444,False
11,5080,44,88.930556365777,88.93056536577735,88.931900632444,False
11,5080,45,88.930560665777,88.93056609911069,88.931900632444,False
11,5080,46,88.930570799111,88.93058789911069,88.931900632444,False
11,5080,47,88.930575099111,88.93058863244403,88.931900632444,False
11,5080,48,88.930579399111,88.93058936577737,88.931900632444,False
11,5080,49,88.930591465777,88.93061173244402,88.931900632444,False
11,5080,50,88.930598432444,88.93061306577737,88.931900632444,False
11,5080,51,88.930602732444,88.93061379911069,88.931900632444,False
11,5080,52,88.930607032444,88.93061453244403,88.931900632444,False
11,5080,53,88.930615965777,88.93063626577737,88.931900632444,False
11,5080,54,88.930622932444,88.9306375991107,88.931900632444,False
11,5080,55,88.930629899111,88.93063893244403,88.931900632444,False
11,5080,56,88.930634199111,88.93063966577736,88.931900632444,False
11,5080,57,88.930645399111,88.93066206577735,88.931900632444,False
11,5080,58,88.930652365777,88.9306633991107,88.931900632444,False
11,5080,59,88.930657732444,88.93066473244403,88.931900632444,False
11,5080,60,88.930670399111,88.93068713244402,88.931900632444,False
11,5080,61,88.930677365777,88.93068846577737,88.931900632444,False
11,5080,62,88.930681665777,88.93068919911069,88.931900632444,False
11,5080,63,88.930691065777,88.93071093244403,88.931900632444,False
11,5080,64,88.930695365777,88.93071166577737,88.931900632444,False
11,5080,65,88.930699665777,88.93071239911069,88.931900632444,False
11,5080,66,88.930703965777,88.93071313244403,88.931900632444,False
11,5080,67,88.930708265777,88.93071386577736,88.931900632444,False
11,5080,68,88.930717932444,88.93073559911069,88.931900632444,False
11,5080,69,88.930722232444,88.93073633244403,88.931900632444,False
11,5080,70,88.930727599111,88.93073766577736,88.931900632444,False
11,5080,71,88.930739065777,88.93076006577736,88.931900632444,False
11,5080,72,88.930743365777,88.93076079911069,88.931900632444,False
11,5080,73,88.930747665777,88.93076153244402,88.931900632444,False
11,5080,74,88.930751965777,88.93076226577736,88.931900632444,False
11,5080,75,88.930756265777,88.9307629991107,88.931900632444,False
11,5080,76,88.930766532444,88.93078473244402,88.931900632444,False
11,5080,77,88.930770832444,88.93078546577736,88.931900632444,False
11,5080,78,88.930775132444,88.9307861991107,88.931900632444,False
11,5080,79,88.930779432444,88.93078693244402,88.931900632444,False
11,5080,80,88.930788365777,88.9308086991107,88.931900632444,False
11,5080,81,88.930792665777,88.93080943244402,88.931900632444,False
11,5080,82,88.930796965777,88.93081016577736,88.931900632444,False
11,5080,83,88.930802332444,88.93081149911069,88.931900632444,False
11,5080,84,88.930814532444,88.93083383244402,88.931900632444,False
11,5080,85,88.930821499111,88.93083516577735,88.931900632444,False
11,5080,86,88.930825799111,88.93083589911069,88.931900632444,False
11,5080,87,88.930831165777,88.93083723244402,88.931900632444,False
11,5080,88,88.930844565777,88.93085959911069,88.931900632444,False
11,5080,89,88.930848865777,88.93086033244403,88.931900632444,False
11,5080,90,88.930853165777,88.93086106577736,88.931900632444,False
11,5080,91,88.930862565777,88.93088289911069,88.931900632444,False
11,5080,92,88.930866865777,88.93088363244402,88.931900632444,False
11,5080,93,88.930871165777,88.93088436577736,88.931900632444,False
11,5080,94,88.930875465777,88.9308850991107,88.931900632444,False
11,5080,95,88.930879765777,88.93088583244402,88.931900632444,False
11,5080,96,88.930888832444,88.93090763244402,88.931900632444,False
11,5080,97,88.930895799111,88.93090896577736,88.931900632444,False
11,5080,98,88.930902765777,88.93091029911069,88.931900632444,False
11,5080,99,88.930912165777,88.93093206577736,88.931900632444,False
11,5080,100,88.930916465777,88.93093279911069,88.931900632444,False
11,5080,101,88.930920765777,88.93093353244403,88.931900632444,False
11,5080,102,88.930925065777,88.93093426577735,88.931900632444,False
11,5080,103,88.930936665777,88.93095659911069,88.931900632444,False
11,5080,104,88.930943632444,88.93095793244403,88.931900632444,False
11,5080,105,88.930948999111,88.93095926577736,88.931900632444,False
11,5080,106,88.930961665777,88.9309815991107,88.931900632444,False
11,5080,107,88.930969699111,88.93098233244402,88.931900632444,False
11,5080,108,88.930973999111,88.93098306577735,88.931900632444,False
11,5080,109,88.930978299111,88.93098379911069,88.931900632444,False
11,5080,110,88.930987832444,88.93100559911069,88.931900632444,False
11,5080,111,88.930992132444,88.93100633244403,88.931900632444,False
11,5080,112,88.930998299111,88.93100706577735,88.931900632444,False
11,5080,113,88.931008499111,88.93102879911069,88.931900632444,False
11,5080,114,88.931012799111,88.93102953244403,88.931900632444,False
11,5080,115,88.931017099111,88.93103026577735,88.931900632444,False
11,5080,116,88.931024065777,88.9310315991107,88.931900632444,False
11,5080,117,88.931036265777,88.93105393244403,88.931900632444,False
11,5080,118,88.931041632444,88.93105526577736,88.931900632444,False
11,5080,119,88.931048599111,88.93105659911069,88.931900632444,False
11,5080,120,88.931058599111,88.93107833244402,88.931900632444,False
11,5080,121,88.931062899111,88.93107906577735,88.931900632444,False
11,5080,122,88.931067199111,88.93107979911069,88.931900632444,False
11,5080,123,88.931074165777,88.93108113244402,88.931900632444,False
11,5080,124,88.931086365777,88.93110346577735,88.931900632444,False
11,5080,125,88.931093099111,88.93110446577735,88.931900632444,False
11,5080,126,88.931098465777,88.93110579911068,88.931900632444,False
11,5080,127,88.931110799111,88.93112813244402,88.931900632444,False
11,5080,128,88.931115099111,88.93112886577735,88.931900632444,False
11,5080,129,88.931120465777,88.93113019911068,88.931900632444,False
11,5080,130,88.931132532444,88.93115253244402,88.931900632444,False
11,5080,131,88.931136832444,88.93115326577735,88.931900632444,False
11,5080,132,88.931141132444,88.93115399911069,88.931900632444,False
11,5080,133,88.931146499111,88.93115533244402,88.931900632444,False
11,5080,134,88.931159299111,88.93117766577735,88.931900632444,False
11,5080,135,88.931166265777,88.93117899911068,88.931900632444,False
11,5080,136,88.931171632444,88.93118033244401,88.931900632444,False
11,5080,137,88.931184299111,88.93120266577735,88.931900632444,False
11,5080,138,88.931188599111,88.93120339911069,88.931900632444,False
11,5080,139,88.931192899111,88.93120413244402,88.931900632444,False
11,5080,140,88.931197199111,88.93120486577736,88.931900632444,False
11,5080,141,88.931206732444,88.93122659911069,88.931900632444,False
11,5080,142,88.931211032444,88.93122733244402,88.931900632444,False
11,5080,143,88.931215332444,88.93122806577736,88.931900632444,False
11,5080,144,88.931219632444,88.93122879911068,88.931900632444,False
11,5080,145,88.931223932444,88.93122953244402,88.931900632444,False
11,5080,146,88.931233599111,88.93125126577735,88.931900632444,False
11,5080,147,88.931240132444,88.93125259911069,88.931900632444,False
11,5080,148,88.931247099111,88.93125393244402,88.931900632444,False
11,5080,149,88.931256499111,88.93127573244402,88.931900632444,False
11,5080,150,88.931260799111,88.93127646577736,88.931900632444,False
11,5080,151,88.931265099111,88.93127719911068,88.931900632444,False
11,5080,152,88.931269399111,88.93127793244402,88.931900632444,False
11,5080,153,88.931273699111,88.93127866577736,88.931900632444,False
11,5080,154,88.931283365777,88.93130039911068,88.931900632444,False
11,5080,155,88.931287665777,88.93130113244402,88.931900632444,False
11,5080,156,88.931291965777,88.93130186577736,88.931900632444,False
11,5080,157,88.931296265777,88.9313025991107,88.931900632444,False
11,5080,158,88.931305199111,88.93132433244402,88.931900632444,False
11,5080,159,88.931309499111,88.93132506577736,88.931900632444,False
11,5080,160,88.931313799111,88.93132579911068,88.931900632444,False
11,5080,161,88.931318099111,88.93132653244402,88.931900632444,False
11,5080,162,88.931328099111,88.93134886577735,88.931900632444,False
11,5080,163,88.931332265777,88.93134926577736,88.931900632444,False
11,5080,164,88.931339232444,88.93135059911069,88.931900632444,False
11,5080,165,88.931343532444,88.93135133244402,88.931900632444,False
11,5080,166,88.931353332444,88.93137306577735,88.931900632444,False
11,5080,167,88.931357632444,88.93137379911069,88.931900632444,False
11,5080,168,88.931361932444,88.93137453244402,88.931900632444,False
11,5080,169,88.931366232444,88.93137526577735,88.931900632444,False
11,5080,170,88.931370532444,88.93137599911068,88.931900632444,False
11,5080,171,88.931380199111,88.93139773244403,88.931900632444,False
11,5080,172,88.931384499111,88.93139846577735,88.931900632444,False
11,5080,173,88.931388799111,88.93139919911069,88.931900632444,False
11,5080,174,88.931401532444,88.93142156577736,88.931900632444,False
11,5080,175,88.931424365777,88.93144356577736,88.931900632444,False
11,5080,176,88.931428665777,88.93144429911068,88.931900632444,False
11,5080,177,88.931435899111,88.93144563244402,88.931900632444,False
11,5080,178,88.931449499111,88.93146796577736,88.931900632444,False
11,5080,179,88.931455665777,88.93146869911068,88.931900632444,False
11,5080,180,88.931459732444,88.93146909911069,88.931900632444,False
11,5080,181,88.931470865777,88.93149143244402,88.931900632444,False
11,5080,182,88.931477832444,88.93149276577735,88.931900632444,False
11,5080,183,88.931484799111,88.93149409911068,88.931900632444,False
11,5080,184,88.931501099111,88.93151549911069,88.931900632444,False
11,5080,185,88.931509132444,88.93151623244403,88.931900632444,False
11,5080,186,88.931513199111,88.93151663244402,88.931900632444,False
11,5080,187,88.931520499111,88.93153803244402,88.931900632444,False
11,5080,188,88.931524565777,88.93153843244401,88.931900632444,False
11,5080,194,88.931713699111,88.93172616577735,88.931900632444,False
11,5080,195,88.931720432444,88.93172716577735,88.931900632444,False
11,5080,196,88.931733132444,88.93174916577735,88.931900632444,False
11,5080,197,88.931739865777,88.93175016577734,88.931900632444,False
11,5080,207,88.931818932444,88.93184016577734,88.931900632444,False
11,5080,208,88.931825932444,88.93184189911068,88.931900632444,False
11,5080,209,88.931833599111,88.93184269911067,88.931900632444,False
11,5080,210,88.931845699111,88.93186453244401,88.931900632444,False
11,5080,211,88.931851499111,88.93186533244402,88.931900632444,False
11,5080,212,88.931857299111,88.93186613244401,88.931900632444,False
11,5080,213,88.931869999111,88.93188886577735,88.931900632444,False
11,5080,214,88.931876999111,88.93189059911069,88.931900632444,False
11,5080,215,88.931884665777,88.93189139911068,88.931900632444,False
11,5080,216,88.931900165777,88.93191323244402,88.931900632444,True
