scene,frame,generation,pages,palettes,bytes,hash,stage_us,encode_us,queue_us,commit_us
2112,3501,1,4096,6,16799888,036316ae6098f1fa,23238.500,9018.500,1001.000,21099.700
2113,3502,2,3,6,18588,20027663fcbd863f,1324.300,5.400,11.700,11.400
2114,3503,3,3,6,18588,79f92d81e5cf2ba8,1232.500,4.600,9.300,12.000
2115,3504,4,3,6,18588,bf1718d956283871,1247.700,5.100,9.800,11.300
2116,3505,5,3,6,18588,b24842c0fdfb55ae,1236.300,5.300,9.600,11.800
2117,3506,6,3,6,18588,f4f3e60e04003aed,1300.900,5.900,11.400,11.600
2118,3507,7,3,6,18588,5aaf1002751accf7,1732.100,5.100,10.900,11.800
2119,3508,8,3,6,18588,d533144cbdc03db4,1303.400,5.400,10.400,11.300
2120,3509,9,3,7,19620,a353428549d43903,1253.300,6.100,10.800,11.400
2121,3510,10,3,6,18588,0c791df796e26c21,1210.200,4.400,10.400,11.500
2122,3512,11,3,6,18588,ab66c0182d488934,1220.100,5.200,9.700,11.500
2123,3513,12,3,6,18588,0374ddd735e2bbcb,1236.600,5.500,9.700,12.000
2124,3514,13,3,6,18588,6331d7c241b903bd,1217.800,5.000,9.400,11.200
2125,3515,14,3,6,18588,0bfdb813078f9da8,1251.000,5.400,9.400,12.100
2126,3516,15,3,6,18588,2a1910caf8c7bbf2,1644.500,5.700,12.000,11.600
2127,3517,16,3,7,19620,4651091382f27ee0,1363.000,6.400,10.400,11.700
2128,3518,17,3,6,18588,471f219f48c642fa,1333.600,4.300,11.800,11.400
2129,3519,18,3,5,17556,8ed3abf422c18919,1260.800,5.300,9.500,11.900
2130,3520,19,3,5,17556,9fd394eb479a8f62,1447.700,4.900,9.800,11.800
2131,3521,20,3,5,17556,de5654a7d145e9c2,1905.800,7.800,11.500,12.200
2132,3522,21,3,4,16524,3daf215794d23a08,1217.700,5.700,9.100,11.400
2133,3523,22,3,3,15492,ce482b4cc3e741fa,1225.500,4.000,9.800,11.500
2134,3524,23,3,2,14460,728d0c06456d21dc,1232.600,4.300,9.600,11.600
2135,3525,24,3,2,14460,3aede842f8ac66ea,1258.600,4.600,9.800,11.600
2136,3526,25,3,2,14460,a072b766141503fe,1254.000,6.100,10.300,12.200
2137,3527,26,3,2,14460,cccc80a8012f2ca5,1331.000,5.600,10.900,11.700
2138,3528,27,3,2,14460,a5ffa8a7c5d0c36d,1984.300,6.100,13.100,11.800
2139,3529,28,3,2,14460,7677570d3057ed54,1273.400,4.000,10.000,11.700
2140,3530,29,3,2,14460,f92eb28126c490f6,1228.300,4.800,9.900,11.400
2141,3531,30,3,2,14460,2733c895a1b29862,1284.100,5.800,9.400,11.600
2142,3532,31,3,2,14460,d39d5dad4bbf93aa,1316.100,3.800,9.200,11.400
2143,3533,32,3,3,15492,5434e9eb4e8239ca,1372.500,5.200,9.500,11.700
2144,3534,33,3,3,15492,382e16dde06f17f6,1664.600,4.900,10.400,12.200
2145,3535,34,3,3,15492,57cba875ca4e49a4,1259.000,3.600,10.000,11.500
2146,3536,35,3,2,14460,228150f39e07d2e3,1228.800,4.700,10.600,11.400
2147,3537,36,3,2,14460,84b884e5cec89c39,1318.200,4.800,8.400,11.900
2148,3538,37,3,1,13428,21ba231c14e8e9b0,1315.000,3.900,9.600,11.400
2149,3539,38,3,1,13428,11121224a985655f,1228.500,4.400,10.000,11.300
2150,3540,39,3,1,13428,c203f9a64f4665a1,1319.800,4.900,9.800,11.600
2151,3542,40,3,2,14460,0947db6512e8daf1,1739.500,6.000,13.600,12.000
2152,3543,41,3,2,14460,d37326a963392cec,1333.000,5.400,12.600,11.700
2153,3544,42,3,2,14460,0a5e280d58a49eb8,1365.000,7.100,11.100,11.800
2154,3545,43,3,2,14460,155cea9a419f677a,1751.100,5.600,11.600,11.800
2155,3546,44,3,2,14460,8017b8f960ccbc06,1274.000,22.000,9.700,11.300
2156,3547,45,3,2,14460,e4ed3bc93a4203df,1560.300,4.200,11.800,12.100
2157,3548,46,3,3,15492,0b82cdcbf8deede5,1418.100,4.400,9.900,11.400
2158,3549,47,3,3,15492,856d3b1f11a937f0,1375.400,4.600,9.400,11.800
2159,3550,48,3,4,16524,4f247379308e18d6,1291.000,6.200,10.400,11.400
2160,3551,49,3,2,14460,2b03f3d0f871f04c,1228.600,3.900,9.200,11.600
2161,3552,50,3,1,13428,5e0896482651a0a5,1229.600,4.200,8.800,11.600
2162,3553,51,3,1,13428,71fa0e3879000737,1595.000,6.100,9.800,11.800
2163,3554,52,3,2,14460,8e09d2f5819ec293,1833.700,7.800,13.600,12.200
2164,3555,53,3,2,14460,efd1072ea4fe26a2,1294.500,4.600,9.900,11.500
2165,3556,54,3,4,16524,345335e90b75436a,1221.900,4.800,9.900,18.600
2166,3557,55,3,5,17556,1629a12b57ebac16,1308.000,6.500,10.500,11.500
2167,3558,56,3,6,18588,ab04ed51dca6ff34,1232.600,4.900,10.000,11.500
