frame,cpu_frame,cpu_time,device_time,multiplier,sources,instances,quads,viewport,hash,source_us,assembly_us,hash_us,snapshot_us,guest_cycles,scene,scene_frame,scene_time,bounds,culled_bounds,materials_us
3501,3501,61.293801432720,61.293805532720,1,4286,11,84,0,6886a84677e39d68,1141.700,1159.400,18.600,1.200,0,2112,3501,61.293717199387,1,313,55390.200
3502,3502,61.311303899387,61.311307999387,1,4286,12,82,0,c03b8ce2cea541c1,965.200,1120.600,18.200,0.400,0,2113,3502,61.311219666054,1,312,1360.900
3503,3503,61.328806699387,61.328810799387,1,4286,12,72,0,19a01bf09d8f3e13,969.800,1111.800,16.000,0.300,0,2114,3503,61.328722466053,1,313,1265.200
3504,3504,61.346308866053,61.346312966053,1,4286,13,81,0,536ea1f92cff5731,1029.700,1113.900,17.900,0.500,0,2115,3504,61.346224632720,1,311,1281.100
3505,3505,61.363814566053,61.363818666053,1,4286,13,81,0,863f53e1e661ec51,970.600,1100.100,17.900,0.200,0,2116,3505,61.363727166053,1,311,1270.300
3506,3506,61.381320932720,61.381325032720,1,4286,12,76,0,32434690ecddf281,946.000,1101.000,16.900,0.400,0,2117,3506,61.381229532720,1,311,1336.700
3507,3507,61.398823466053,61.398827566053,1,4286,13,82,0,848d8efd4904cd05,1033.700,1157.600,18.300,0.400,0,2118,3507,61.398732066053,1,309,1767.900
3508,3508,61.416327966052,61.416332066053,1,4286,11,83,0,29c78142cd8f51dc,983.000,1154.400,23.600,0.400,0,2119,3508,61.416234566053,1,309,1338.500
3509,3509,61.433830332719,61.433834432719,1,4286,12,94,0,9572701df46a57af,969.200,1124.000,20.800,0.300,0,2120,3509,61.433736932719,1,309,1289.500
3510,3510,61.451334932719,61.451339032719,1,4286,12,91,0,f9617471d027ee46,960.600,1176.800,20.200,0.400,0,2121,3510,61.451239532719,1,308,1243.900
3512,3512,61.486341832718,61.486345932718,1,4286,10,55,0,2ba7a303c9f08961,1197.500,1181.200,12.200,0.500,0,2122,3512,61.486244432718,1,307,1253.400
3513,3513,61.503844366052,61.503848466052,1,4286,12,68,0,b564972ca2ac41c0,1179.400,1130.700,15.000,0.600,0,2123,3513,61.503746966052,1,301,1270.700
3514,3514,61.521346732718,61.521350832718,1,4286,11,68,0,87b05c5b9e9247fb,958.600,1116.700,15.100,0.500,0,2124,3514,61.521249332718,1,302,1251.100
3515,3515,61.538846932718,61.538851032718,1,4286,12,59,0,f675fe9e0721264c,1177.600,1157.800,13.100,0.400,0,2125,3515,61.538751866051,1,301,1283.800
3516,3516,61.556349399384,61.556353499384,1,4286,14,74,0,fff551683ad19feb,1204.700,1094.400,16.400,0.400,0,2126,3516,61.556254332718,1,300,1682.100
3517,3517,61.573787232718,61.573799799384,1,4286,11,95,0,0cf5f2f883926ac7,1014.200,1133.200,21.000,0.300,0,2127,3517,61.573756832718,1,302,1399.000
3518,3518,61.591289599384,61.591302266051,1,4286,12,123,0,3ac82ba35d2fabd4,1020.100,1212.000,27.400,0.500,0,2128,3518,61.591259199384,1,301,1370.300
3519,3519,61.608839132717,61.608843232717,1,4286,10,187,0,5d1e9881d884e2a7,983.800,1116.100,41.400,0.800,0,2129,3519,61.608762066051,1,301,1294.400
3520,3520,61.626294566050,61.626307232717,1,4286,8,99,0,e326adf1edccdef9,962.100,1086.300,21.900,0.500,0,2130,3520,61.626264166050,1,306,1480.900
3521,3521,61.643843732717,61.643847832717,1,4286,10,133,0,dcdf61db5302e706,980.300,1113.300,29.500,0.900,0,2131,3521,61.643766666050,1,307,1947.400
3522,3522,61.661346232717,61.661350332717,1,4286,9,128,0,f85ce0d0e71ecb50,955.400,1094.100,28.400,1.000,0,2132,3522,61.661269166050,1,308,1249.900
3523,3523,61.678848666050,61.678852766050,1,4286,7,101,0,154ef9014ec22f0a,956.400,1069.900,22.400,0.300,0,2133,3523,61.678771599383,1,307,1257.500
3524,3524,61.696351199383,61.696355299383,1,4286,6,83,0,a927f8842054b37b,966.200,1070.700,18.300,0.400,0,2134,3524,61.696274132716,1,307,1264.500
3525,3525,61.713855899383,61.713859999383,1,4286,7,92,0,c5ab8c3efd541eb2,983.400,1094.500,20.400,0.400,0,2135,3525,61.713776499383,1,309,1292.400
3526,3526,61.731358332716,61.731362432716,1,4286,8,90,0,0a5918cc006ed391,962.100,1085.700,20.000,0.500,0,2136,3526,61.731278932716,1,309,1291.100
3527,3527,61.748861266049,61.748865366049,1,4286,5,71,0,653db70a9dd3cfc1,963.500,1069.700,15.700,0.500,0,2137,3527,61.748781866049,1,310,1366.700
