frame,emulated_seconds,host_seconds
1,0.017502471249,0.005534700
2,0.035004942498,0.029420200
3,0.052507413746,0.046879100
4,0.070009884995,0.065225900
5,0.087512356244,0.094664400
6,0.105014827493,0.111593400
7,0.122517298741,0.129472600
8,0.140019769990,0.145526100
9,0.157522241239,0.176894800
10,0.175024712488,0.193070400
11,0.192527183736,0.210911900
12,0.210029654985,0.225609500
13,0.227532126234,0.243758500
14,0.245034597483,0.261622800
15,0.262537068731,0.281763400
16,0.280039539980,0.298795100
17,0.297542011229,0.314929100
18,0.315044482478,0.334043600
19,0.332546953727,0.350793100
20,0.350049424975,0.369949300
21,0.367551896224,0.386109800
22,0.385054367473,0.403961000
23,0.402556838722,0.420637700
24,0.420059309970,0.440308400
25,0.437561781219,0.458271700
26,0.455064252468,0.476590900
27,0.472566723717,0.492995600
28,0.490069194965,0.509252100
29,0.507571666214,0.530058100
30,0.525074137463,0.550042500
31,0.542576608712,0.567464500
32,0.560079079960,0.584169000
33,0.577581551209,0.601857200
34,0.595084022458,0.618487700
35,0.612586493707,0.634963100
36,0.630088964956,0.652400500
37,0.647591436204,0.669967400
38,0.665093907453,0.687558700
39,0.682596378702,0.706219200
40,0.700098849951,0.722592300
41,0.717601321199,0.739899000
42,0.735103792448,0.757244900
43,0.752606263697,0.774972000
44,0.770108734946,0.792274400
45,0.787611206194,0.810069100
46,0.805113677443,0.827814300
47,0.822616148692,0.844810600
48,0.840118619941,0.862434100
49,0.857621091189,0.880910300
50,0.875123562438,0.898174200
51,0.892626033687,0.916992400
52,0.910128504936,0.933595700
53,0.927630976185,0.950501900
54,0.945133447433,0.968117400
55,0.962635918682,0.985069000
56,0.980138389931,1.002366500
57,0.997640861180,1.019860000
58,1.015143332428,1.037798500
59,1.032645803677,1.056596000
60,1.050148274926,1.072463100
61,1.067650746175,1.090326300
62,1.085153217423,1.107444600
63,1.102655688672,1.125211300
64,1.120158159921,1.142885200
65,1.137660631170,1.159822000
66,1.155163102418,1.177476000
67,1.172665573667,1.195172400
68,1.190168044916,1.212451400
69,1.207670516165,1.231049400
70,1.225172987414,1.248605800
71,1.242675458662,1.267446000
72,1.260177929911,1.284373000
73,1.277680401160,1.300863400
74,1.295182872409,1.317495800
75,1.312685343657,1.335241300
76,1.330187814906,1.352547800
77,1.347690286155,1.370127300
78,1.365192757404,1.387620200
79,1.382695228652,1.405133800
80,1.400197699901,1.422405200
81,1.417700171150,1.439917100
82,1.435202642399,1.457654100
83,1.452705113647,1.475012100
84,1.470207584896,1.493360900
85,1.487710056145,1.510087700
86,1.505212527394,1.527622700
87,1.522714998642,1.545627600
88,1.540217469891,1.563667600
89,1.557719941140,1.581613300
90,1.575222412389,1.600855200
91,1.592724883638,1.617597300
92,1.610227354886,1.633887500
93,1.627729826135,1.650683600
94,1.645232297384,1.667795600
95,1.662734768633,1.685078200
96,1.680237239881,1.703544900
97,1.697739711130,1.720208900
98,1.715242182379,1.737792500
99,1.732744653628,1.755388400
100,1.750247124876,1.772884400
101,1.767749596125,1.790667200
102,1.785252067374,1.807327800
103,1.802754538623,1.825501700
104,1.820257009871,1.843413800
105,1.837759481120,1.859878400
106,1.855261952369,1.877464400
107,1.872764423618,1.895186000
108,1.890266894867,1.913051700
