scene,frame,generation,pages,palettes,bytes,hash,decode_us,upload_us,snapshot_us
2112,3501,1,4096,26,16820528,036316ae6098f1fa,24477.200,2752.700,0.200
2113,3502,2,3,26,39228,20027663fcbd863f,48.800,202.400,0.400
2114,3503,3,3,26,39228,79f92d81e5cf2ba8,48.800,208.500,0.100
2115,3504,4,3,26,39228,bf1718d956283871,56.900,165.400,0.100
2116,3505,5,3,26,39228,b24842c0fdfb55ae,49.400,173.000,0.300
2117,3506,6,3,26,39228,f4f3e60e04003aed,52.800,180.600,0.400
2118,3507,7,3,26,39228,5aaf1002751accf7,50.800,168.900,0.100
2119,3508,8,3,26,39228,d533144cbdc03db4,51.000,248.100,0.400
2120,3509,9,3,26,39228,a353428549d43903,46.700,129.200,0.100
2121,3510,10,3,26,39228,0c791df796e26c21,53.300,148.200,0.100
2122,3512,11,3,26,39228,ab66c0182d488934,48.700,221.400,0.100
2123,3513,12,3,26,39228,0374ddd735e2bbcb,47.700,173.700,0.100
2124,3514,13,3,26,39228,6331d7c241b903bd,45.200,209.200,0.500
2125,3515,14,3,26,39228,0bfdb813078f9da8,51.900,172.200,0.400
2126,3516,15,3,26,39228,2a1910caf8c7bbf2,49.600,198.400,0.100
2127,3517,16,3,27,40260,4651091382f27ee0,51.800,161.200,0.400
2128,3518,17,3,27,40260,471f219f48c642fa,47.400,144.400,0.200
2129,3519,18,3,27,40260,8ed3abf422c18919,49.500,145.400,0.100
2130,3520,19,3,27,40260,9fd394eb479a8f62,48.500,178.700,0.300
2131,3521,20,3,27,40260,de5654a7d145e9c2,50.400,215.900,0.500
2132,3522,21,3,27,40260,3daf215794d23a08,52.000,228.800,0.400
2133,3523,22,3,27,40260,ce482b4cc3e741fa,49.000,187.400,0.100
2134,3524,23,3,26,39228,728d0c06456d21dc,57.200,198.700,0.100
2135,3525,24,3,26,39228,3aede842f8ac66ea,48.900,153.300,0.100
2136,3526,25,3,26,39228,a072b766141503fe,49.600,177.500,0.500
2137,3527,26,3,26,39228,cccc80a8012f2ca5,59.600,249.700,0.300
2138,3528,27,3,26,39228,a5ffa8a7c5d0c36d,48.900,178.400,0.100
2139,3529,28,3,26,39228,7677570d3057ed54,47.300,193.700,0.200
2140,3530,29,3,26,39228,f92eb28126c490f6,49.500,157.200,0.200
2141,3531,30,3,26,39228,2733c895a1b29862,49.400,206.300,0.100
2142,3532,31,3,26,39228,d39d5dad4bbf93aa,73.100,155.300,0.100
2143,3533,32,3,27,40260,5434e9eb4e8239ca,47.800,194.600,0.100
2144,3534,33,3,27,40260,382e16dde06f17f6,51.900,192.300,0.200
2145,3535,34,3,27,40260,57cba875ca4e49a4,53.500,168.800,0.400
2146,3536,35,3,26,39228,228150f39e07d2e3,48.600,168.000,0.100
2147,3537,36,3,26,39228,84b884e5cec89c39,49.300,162.900,0.300
2148,3538,37,3,26,39228,21ba231c14e8e9b0,49.700,204.100,0.100
2149,3539,38,3,26,39228,11121224a985655f,50.700,228.200,0.100
2150,3540,39,3,26,39228,c203f9a64f4665a1,57.100,1852.900,0.100
2151,3542,40,3,26,39228,0947db6512e8daf1,48.800,179.500,0.300
2152,3543,41,3,26,39228,d37326a963392cec,49.900,161.600,0.400
2153,3544,42,3,26,39228,0a5e280d58a49eb8,48.600,147.000,0.100
2154,3545,43,3,26,39228,155cea9a419f677a,48.700,162.400,0.100
2155,3546,44,3,25,38196,8017b8f960ccbc06,47.200,208.800,0.300
2156,3547,45,3,25,38196,e4ed3bc93a4203df,47.200,190.500,0.500
2157,3548,46,3,26,39228,0b82cdcbf8deede5,100.100,238.100,0.100
2158,3549,47,3,26,39228,856d3b1f11a937f0,47.800,146.500,0.200
2159,3550,48,3,27,40260,4f247379308e18d6,48.500,191.900,0.100
2160,3551,49,3,26,39228,2b03f3d0f871f04c,50.600,146.800,0.100
2161,3552,50,3,25,38196,5e0896482651a0a5,49.400,163.300,0.100
2162,3553,51,3,25,38196,71fa0e3879000737,47.600,151.500,0.200
2163,3554,52,3,25,38196,8e09d2f5819ec293,47.900,148.700,0.200
2164,3555,53,3,25,38196,efd1072ea4fe26a2,46.300,169.400,0.100
2165,3556,54,3,25,38196,345335e90b75436a,47.000,154.500,0.200
2166,3557,55,3,25,38196,1629a12b57ebac16,48.100,155.400,0.400
2167,3558,56,3,26,39228,ab04ed51dca6ff34,50.600,201.300,1.200
2168,3559,57,3,27,40260,4d452dd3fcbadd54,56.300,207.900,0.200
2169,3560,58,3,26,39228,b6375ceb4065eed3,50.200,165.800,0.200
2170,3561,59,3,26,39228,0baf255b70b79340,50.000,164.700,0.500
2171,3562,60,3,26,39228,87267471aa5967bf,49.000,157.200,0.200
2172,3563,61,3,26,39228,de76148e8be68cc8,48.000,184.700,0.100
2173,3564,62,3,26,39228,a52c1cd6b0f7289b,52.400,227.500,0.400
2174,3565,63,3,26,39228,d1a17157dc7e4c76,47.100,200.800,0.400
2175,3567,64,3,25,38196,dd28f1ea16239825,47.400,149.700,0.100
2176,3568,65,3,24,37164,35f084151cf1fc3f,74.100,199.600,0.100
2177,3569,66,3,24,37164,a7cdd5c10476c455,50.000,171.500,0.100
2178,3570,67,3,24,37164,1b53f60f7e1e703f,52.900,253.700,0.400
2179,3571,68,3,24,37164,e4ac4964744b3e93,47.700,158.600,0.100
2180,3572,69,3,24,37164,e67829eb6816c4a5,46.600,193.900,0.500
2181,3573,70,3,24,37164,aa81c1860a2251b7,170.000,151.100,0.200
2182,3574,71,3,24,37164,2a111bf873445d9c,45.300,158.800,0.100
2183,3575,72,3,24,37164,55f5b1e0e9018bb6,50.800,180.100,0.100
