frame,cpu_frame,cpu_time,device_time,scene,scene_frame,scene_time,multiplier,instances,quads,viewport,hash,source_us,assembly_us,hash_us,snapshot_us,guest_cycles,bounds,culled_bounds
3500,3500,61.276243366054,61.276255932721,2117,3500,61.276213399387,3,2719,20536,0,1ba17b70523151fc,1597.000,10426.500,4604.900,0.900,0,0,0
3501,3501,61.293745799387,61.293758366054,2118,3501,61.293715832720,3,2719,20537,0,4bbeb83b33768ede,1433.300,10080.800,4559.500,0.600,0,0,0
3502,3502,61.311248399387,61.311260966054,2119,3502,61.311218432720,3,2719,20535,0,4b6eb5ee5d648146,1556.700,10048.500,4575.200,0.600,0,0,0
3503,3503,61.328751066053,61.328763632720,2120,3503,61.328721099387,3,2719,20537,0,6cae7eaf1a30ebea,1415.100,9791.700,4557.500,0.700,0,0,0
3504,3504,61.346253299387,61.346265866053,2121,3504,61.346223332720,3,2719,20535,0,946e08d0febce063,1441.200,9911.400,4567.500,1.200,0,0,0
3505,3505,61.363755766053,61.363768332720,2122,3505,61.363725799386,3,2719,20535,0,8a83125ee0861bcf,1418.100,10086.100,4648.400,0.600,0,0,0
3506,3506,61.381258199386,61.381270766053,2123,3506,61.381228232720,3,2719,20536,0,8827d322b8207531,1452.100,10165.900,4556.000,1.100,0,0,0
3507,3507,61.398760632719,61.398773199386,2124,3507,61.398730666053,3,2719,20536,0,3264c7fc0992605d,1437.800,9757.700,4584.400,0.700,0,0,0
3508,3508,61.416263232719,61.416275799386,2125,3508,61.416233266053,3,2719,20536,0,b5043807a528b5e7,1412.600,10663.400,4761.100,0.900,0,0,0
3509,3509,61.433765566052,61.433778132719,2126,3509,61.433735599386,3,2719,20535,0,58f318991c90e18a,1449.900,10483.700,4890.800,1.000,0,0,0
3510,3510,61.451268099385,61.451280666052,2127,3510,61.451238132719,3,2719,20536,0,ba8b9906cbfc9244,1517.700,10661.900,4575.200,1.000,0,0,0
3511,3511,61.468770932719,61.468783499385,2128,3511,61.468740966052,3,2719,20536,0,a814f0c5a9dd89aa,1447.300,10361.000,4572.300,0.900,0,0,0
3512,3512,61.486273699385,61.486286266052,2129,3512,61.486243732718,3,2719,20537,0,cf83d59205452d62,1424.400,9959.800,4569.500,0.800,0,0,0
3513,3513,61.503775532718,61.503788099385,2130,3513,61.503745566052,3,2719,20537,0,fd83eae330cba8ef,1416.500,9916.300,4573.800,0.700,0,0,0
3514,3514,61.521277999385,61.521290566051,2131,3514,61.521248032718,3,2719,20537,0,35f57b9f74034930,1424.000,9867.900,4564.900,1.100,0,0,0
3515,3515,61.538780466051,61.538793032718,2132,3515,61.538750499385,3,2719,20537,0,4b30a794a9ffd611,1405.100,9974.200,4572.100,0.800,0,0,0
3516,3516,61.556282999384,61.556295566051,2133,3516,61.556253032718,3,2719,20537,0,fb228c96a878c119,1412.200,9896.000,4564.000,0.600,0,0,0
3517,3517,61.573785332718,61.573797899384,2134,3517,61.573755366051,3,2719,20537,0,e4e4ad73a0de1309,1561.200,9769.200,4578.200,0.800,0,0,0
3518,3518,61.591287832717,61.591300399384,2135,3518,61.591257866051,3,2719,20537,0,3ab2f224f45cf322,1554.500,9942.900,4572.300,0.800,0,0,0
3519,3519,61.608790666051,61.608803232717,2136,3519,61.608760699384,3,2719,20537,0,4b4bf43cb7d468e4,1484.600,10702.500,4622.300,1.000,0,0,0
3520,3520,61.626292866050,61.626305432717,2137,3520,61.626262899384,3,2719,20537,0,ed9f49ce33b78c4c,1430.900,9978.500,4566.100,0.800,0,0,0
3521,3521,61.643795366050,61.643807932717,2138,3521,61.643765399384,3,2719,20537,0,8fca5a2855f56f9c,1414.600,9648.700,4666.100,0.900,0,0,0
3522,3522,61.661297799383,61.661310366050,2139,3522,61.661267832717,3,2719,20537,0,5efd6cdc2f2c53f4,1400.300,9995.300,4610.600,0.900,0,0,0
3523,3523,61.678800266050,61.678812832717,2140,3523,61.678770299383,3,2719,20537,0,2e6fb61dad962acb,1490.600,9988.400,4590.800,0.900,0,0,0
3524,3524,61.696302699383,61.696315266050,2141,3524,61.696272732716,3,2719,20537,0,da7efbc07c4d4b03,1428.900,10338.500,4628.900,1.100,0,0,0
3525,3525,61.713805166050,61.713817732716,2142,3525,61.713775199383,3,2719,20537,0,f7ee53c28b866be5,1460.700,9806.300,4572.500,0.700,0,0,0
3526,3526,61.731307699383,61.731320266049,2143,3526,61.731277732716,3,2719,20537,0,7431a6956632c085,1424.300,10398.500,4561.000,0.500,0,0,0
3527,3527,61.748810532716,61.748823099383,2144,3527,61.748780566049,3,2719,20537,0,fcb434bcee2a9227,1503.500,9890.600,4579.300,0.700,0,0,0
3528,3528,61.766312632716,61.766325199382,2145,3528,61.766282666049,3,2719,20537,0,b0fe551dbd732f67,1409.800,9931.100,4580.500,0.700,0,0,0
3529,3529,61.783815099382,61.783827666049,2146,3529,61.783785132715,3,2719,20537,0,1fb23e65450f3e79,1448.300,10021.300,4640.200,0.600,0,0,0
3530,3530,61.801317499382,61.801330066049,2147,3530,61.801287532715,3,2719,20537,0,80f695e3de5a99a9,1549.800,10188.800,4570.400,0.700,0,0,0
3531,3531,61.818820066048,61.818832632715,2148,3531,61.818790099382,3,2719,20537,0,d02fff349014e76b,1437.700,9902.000,4627.800,0.800,0,0,0
3532,3532,61.836322466048,61.836335032715,2149,3532,61.836292499382,3,2719,20537,0,092592ab598d59fb,1423.500,9896.200,4716.600,1.200,0,0,0
3533,3533,61.853824866048,61.853837432715,2150,3533,61.853794899381,3,2719,20537,0,c230b6d46bc891cd,1423.000,10064.700,4572.400,0.700,0,0,0
3534,3534,61.871327332715,61.871339899381,2151,3534,61.871297366048,3,2719,20537,0,6a086d182f63da1d,1431.700,10029.600,4582.800,0.900,0,0,0
3535,3535,61.888830232714,61.888842799381,2152,3535,61.888800266048,3,2719,20537,0,7326721cb425168f,1414.100,9742.700,4558.900,0.500,0,0,0
3536,3536,61.906332332714,61.906344899381,2153,3536,61.906302366048,3,2719,20537,0,ddc56225db7e9e1f,1446.300,9651.000,4598.100,0.700,0,0,0
3537,3537,61.923834766047,61.923847332714,2154,3537,61.923804799381,3,2719,20537,0,d21b097f2020cfe1,1419.500,10325.600,4573.900,1.000,0,0,0
3538,3538,61.941337366047,61.941349932714,2155,3538,61.941307399381,3,2719,20537,0,e3f64235b44cf041,1456.600,10031.200,4568.000,1.000,0,0,0
3539,3539,61.958839699380,61.958852266047,2156,3539,61.958809732714,3,2719,20537,0,11ed16c60cee5ad3,1548.700,10470.600,4591.100,1.100,0,0,0
3540,3540,61.976342299380,61.976354866047,2157,3540,61.976312332714,3,2719,20537,0,8891a128686b4e53,1453.200,10530.800,4563.100,0.900,0,0,0
3541,3541,61.993844732713,61.993857299380,2158,3541,61.993814766047,3,2719,20537,0,48fde991a79633d5,1418.800,10490.500,4639.000,0.900,0,0,0
3542,3542,62.011347132713,62.011359699380,2159,3542,62.011317166047,3,2719,20537,0,600fc657e143e195,1417.400,9901.400,4633.000,0.700,0,0,0
3543,3543,62.028850166046,62.028862732713,2160,3543,62.028820199380,3,2719,20537,0,f0b176a0bd4da3f7,1432.700,9877.000,4556.300,0.700,0,0,0
3544,3544,62.046352132713,62.046364699380,2161,3544,62.046322166046,3,2719,20537,0,50d5eb7ea3a48757,1457.900,9879.100,4567.400,1.000,0,0,0
3545,3545,62.063854532713,62.063867099379,2162,3545,62.063824566046,3,2719,20537,0,eb17bb502013f249,1385.900,10249.800,4569.100,0.900,0,0,0
3546,3546,62.081357066046,62.081369632713,2163,3546,62.081327099379,3,2719,20537,0,1f8eb32668988839,1448.800,9793.600,4567.200,1.100,0,0,0
3547,3547,62.098859599379,62.098872166046,2164,3547,62.098829632712,3,2719,20537,0,cfa5f59e4d89bc7b,1446.600,9873.300,4606.500,0.600,0,0,0
3548,3548,62.116361966046,62.116374532712,2165,3548,62.116331999379,3,2719,20537,0,e3a13185f8406c4b,1569.800,9804.200,4564.000,0.800,0,0,0
3549,3549,62.133872132712,62.133884699379,2166,3549,62.133842166045,3,2719,20537,0,fd1574a1860902fd,1466.000,9877.200,4573.200,0.900,0,0,0
3550,3550,62.151367032712,62.151379599378,2167,3550,62.151337066045,3,2719,20537,0,a798c52452174fad,1419.800,9899.300,4563.300,0.700,0,0,0
3551,3551,62.168869699378,62.168882266045,2168,3551,62.168839732712,3,2719,20537,0,2ed5f8daf9e93c9f,1424.800,9804.700,4696.400,0.700,0,0,0
3552,3552,62.186371899378,62.186384466045,2169,3552,62.186341932711,3,2719,20537,0,c62134de5a3e67cf,1426.500,9889.900,4585.000,0.700,0,0,0
3553,3553,62.203874432711,62.203886999378,2170,3553,62.203844466045,3,2719,20537,0,bdb36a58b2644af1,1420.300,9966.300,4724.400,0.900,0,0,0
3554,3554,62.221376832711,62.221389399378,2171,3554,62.221346866044,3,2719,20537,0,4dd04626a0f0e8d1,1437.700,10311.700,4571.300,1.000,0,0,0
3555,3555,62.238879232711,62.238891799378,2172,3555,62.238849266044,3,2719,20537,0,2d1b79eccd175363,1428.400,10109.200,4577.300,0.800,0,0,0
3556,3556,62.256381766044,62.256394332711,2173,3556,62.256351799377,3,2719,20537,0,24e538f816fa1f63,1410.800,9897.800,4582.200,0.900,0,0,0
3557,3557,62.273884299377,62.273896866044,2174,3557,62.273854332711,3,2719,20537,0,65345563ced51b45,1482.300,9791.300,4555.400,0.700,0,0,0
3558,3558,62.291386666044,62.291399232710,2175,3558,62.291356699377,3,2719,20537,0,819482fd9efa3365,1459.400,9802.000,4682.000,0.700,0,0,0
3559,3559,62.308889699377,62.308902266044,2176,3559,62.308859732710,3,2719,20537,0,d4eae7522f513e07,1486.200,9997.000,4577.200,0.800,0,0,0
3560,3560,62.326391599377,62.326404166043,2177,3560,62.326361632710,3,2719,20537,0,2199a9c42b46c587,1445.900,10436.900,4578.400,1.500,0,0,0
3561,3561,62.343894132710,62.343906699377,2178,3561,62.343864166043,3,2719,20537,0,60293d42c7478559,1462.500,10274.400,4573.600,1.500,0,0,0
3562,3562,62.361396666043,62.361409232710,2179,3562,62.361366699376,3,2719,20537,0,d7d93d0b2e013809,1447.800,10349.400,4578.500,1.200,0,0,0
3563,3563,62.378899032710,62.378911599376,2180,3563,62.378869066043,3,2719,20537,0,d1192f140525a6cb,1423.700,10257.200,4571.900,0.800,0,0,0
3564,3564,62.396401532709,62.396414099376,2181,3564,62.396371566043,3,2719,20537,0,1fc8ab4f95ffd71b,1390.800,10484.600,4574.500,1.300,0,0,0
3565,3565,62.413903999376,62.413916566043,2182,3565,62.413874032709,3,2719,20537,0,5f8a55cf7aadcc2d,1458.300,9956.900,4564.200,0.800,0,0,0
3566,3566,62.431406432709,62.431418999376,2183,3566,62.431376466042,3,2719,20537,0,885eaf28b247653d,1463.800,9758.500,4613.000,1.100,0,0,0
3567,3567,62.448909332709,62.448921899376,2184,3567,62.448879366042,3,2719,20537,0,f067e02b01dba76f,1539.900,9927.800,4620.100,0.700,0,0,0
3568,3568,62.466411499375,62.466424066042,2185,3568,62.466381532709,3,2719,20537,0,4a16aef683087a7f,1441.000,9897.800,4595.200,1.000,0,0,0
3569,3569,62.483913832708,62.483926399375,2186,3569,62.483883866042,3,2719,20537,0,5f37a9f17d1259c1,1472.800,10028.800,4598.500,0.800,0,0,0
3570,3570,62.501416432708,62.501428999375,2187,3570,62.501386466042,3,2719,20537,0,095218d1977afd21,1462.300,9842.300,4558.900,0.700,0,0,0
3571,3571,62.518918866041,62.518931432708,2188,3571,62.518888899375,3,2719,20537,0,5424895f10e40633,1453.500,9923.900,4612.700,1.000,0,0,0
3572,3572,62.536421266041,62.536433832708,2189,3572,62.536391299375,3,2719,20537,0,8df85f7af1da0233,1417.900,9969.100,4562.500,0.700,0,0,0
3573,3573,62.553923866041,62.553936432708,2190,3573,62.553893899374,3,2719,20537,0,fd9057dbe272ed35,1426.500,9769.300,4560.200,0.700,0,0,0
3574,3574,62.571426266041,62.571438832708,2191,3574,62.571396299374,3,2719,20537,0,f4dbdfa760d2a5f5,1439.700,9767.900,4571.000,0.500,0,0,0
