frame,emulated_seconds,host_seconds
1,0.017502471249,0.005616100
2,0.035004942498,0.030315400
3,0.052507413746,0.047153500
4,0.070009884995,0.071236500
5,0.087512356244,0.090460400
6,0.105014827493,0.106662000
7,0.122517298741,0.123556800
8,0.140019769990,0.141929200
9,0.157522241239,0.173162700
10,0.175024712488,0.188139600
11,0.192527183736,0.207117000
12,0.210029654985,0.225306600
13,0.227532126234,0.239587300
14,0.245034597483,0.266705500
15,0.262537068731,0.283852500
16,0.280039539980,0.300786500
17,0.297542011229,0.316737500
18,0.315044482478,0.331780500
19,0.332546953727,0.345507500
20,0.350049424975,0.364624300
21,0.367551896224,0.383556900
22,0.385054367473,0.399776400
23,0.402556838722,0.417257600
24,0.420059309970,0.433669800
25,0.437561781219,0.452780700
26,0.455064252468,0.468417500
27,0.472566723717,0.485788700
28,0.490069194965,0.503145400
29,0.507571666214,0.524281400
30,0.525074137463,0.541166600
31,0.542576608712,0.559956300
32,0.560079079960,0.581568400
33,0.577581551209,0.598468500
34,0.595084022458,0.615925000
35,0.612586493707,0.633707100
36,0.630088964956,0.651096000
37,0.647591436204,0.666735100
38,0.665093907453,0.683819900
39,0.682596378702,0.701589900
40,0.700098849951,0.720664400
41,0.717601321199,0.736338300
42,0.735103792448,0.753879300
43,0.752606263697,0.771798000
44,0.770108734946,0.789195100
45,0.787611206194,0.806989300
46,0.805113677443,0.824053800
47,0.822616148692,0.841379400
48,0.840118619941,0.859886000
49,0.857621091189,0.877217900
50,0.875123562438,0.896806300
51,0.892626033687,0.913410300
52,0.910128504936,0.930246600
53,0.927630976185,0.947922600
54,0.945133447433,0.964203600
55,0.962635918682,0.981363100
56,0.980138389931,0.999014900
57,0.997640861180,1.016652100
58,1.015143332428,1.034337100
59,1.032645803677,1.054220900
60,1.050148274926,1.069067500
61,1.067650746175,1.086603100
62,1.085153217423,1.104322200
63,1.102655688672,1.123450600
64,1.120158159921,1.139029400
65,1.137660631170,1.156356600
66,1.155163102418,1.174307700
67,1.172665573667,1.191293700
68,1.190168044916,1.209254900
69,1.207670516165,1.227485600
70,1.225172987414,1.246118700
71,1.242675458662,1.263027600
72,1.260177929911,1.279964000
73,1.277680401160,1.296957000
74,1.295182872409,1.314399600
75,1.312685343657,1.332253000
76,1.330187814906,1.350779700
77,1.347690286155,1.367617700
78,1.365192757404,1.384438600
79,1.382695228652,1.401511100
80,1.400197699901,1.419217800
81,1.417700171150,1.436543700
82,1.435202642399,1.454321500
83,1.452705113647,1.471623800
84,1.470207584896,1.489141900
85,1.487710056145,1.506990600
86,1.505212527394,1.524418400
