scene,frame,generation,pages,palettes,bytes,hash,stage_us,encode_us,queue_us,commit_us
2193,3576,77,0,7,7320,fa5171999476382a,1214.200,4.000,8.500,0.200
2194,3577,78,0,7,7320,fa5171999476382a,1511.300,6.400,10.500,0.300
2195,3578,79,0,7,7320,fa5171999476382a,1309.200,3.700,9.600,0.200
2196,3579,80,0,7,7320,fa5171999476382a,1232.300,3.700,9.000,0.600
2197,3580,81,0,7,7320,fa5171999476382a,1230.100,5.000,8.800,0.200
2198,3581,82,0,7,7320,fa5171999476382a,1284.300,3.800,9.500,0.200
2199,3582,83,0,7,7320,fa5171999476382a,1273.900,3.600,8.400,0.300
2200,3583,84,0,7,7320,fa5171999476382a,1278.800,4.400,9.600,0.300
2201,3584,85,0,7,7320,fa5171999476382a,1230.900,3.800,10.200,0.300
2202,3585,86,0,7,7320,fa5171999476382a,1235.300,3.900,8.100,0.200
2203,3586,87,0,7,7320,fa5171999476382a,1212.200,5.100,9.700,0.200
2204,3587,88,0,7,7320,fa5171999476382a,1268.300,3.700,10.600,0.100
2205,3588,89,0,7,7320,fa5171999476382a,1202.700,3.900,7.300,0.300
2206,3589,90,0,7,7320,fa5171999476382a,1317.300,3.700,8.500,0.200
2207,3590,91,0,7,7320,fa5171999476382a,1222.000,3.700,8.400,0.200
2208,3591,92,0,7,7320,fa5171999476382a,1226.100,3.400,8.400,0.200
2209,3592,93,0,7,7320,fa5171999476382a,1208.200,4.600,8.500,0.100
2210,3593,94,0,7,7320,fa5171999476382a,1260.400,4.500,8.300,0.200
2211,3594,95,0,7,7320,fa5171999476382a,1374.900,4.100,10.000,0.600
2212,3595,96,0,7,7320,fa5171999476382a,1267.400,4.500,8.000,0.200
2213,3596,97,0,7,7320,fa5171999476382a,1222.000,4.100,8.600,0.100
2214,3597,98,0,7,7320,fa5171999476382a,1256.400,4.800,9.500,0.200
2215,3598,99,0,7,7320,fa5171999476382a,1225.200,4.200,9.100,0.300
2216,3599,100,0,7,7320,fa5171999476382a,1215.200,3.800,8.500,0.200
2217,3600,101,0,7,7320,fa5171999476382a,1240.200,4.700,20.200,0.300
2218,3601,102,0,7,7320,fa5171999476382a,1456.000,5.000,10.800,0.200
2219,3602,103,0,7,7320,fa5171999476382a,1211.800,3.300,9.300,0.200
2220,3603,104,0,7,7320,fa5171999476382a,1220.700,3.900,8.300,0.100
2221,3604,105,0,7,7320,fa5171999476382a,1457.600,3.800,12.700,0.500
2222,3605,106,0,7,7320,fa5171999476382a,1247.300,4.500,9.300,0.300
2223,3606,107,0,7,7320,fa5171999476382a,1208.300,3.300,8.700,0.200
