run,frame,source_us,assembly_us,hash_us,materials_us,snapshot_us,depth_tests,depth_verified,depth_skipped
written-nogl3,3577,957.300,1947.600,279.200,62.800,0.400,0,0,0
written-nogl3,3578,939.500,1954.000,278.900,60.700,0.400,0,0,0
written-nogl3,3579,943.900,1905.600,298.400,64.700,0.400,0,0,0
written-nogl3,3580,953.100,1794.000,227.700,60.400,0.400,0,0,0
written-nogl3,3581,1167.100,1937.300,228.400,68.400,0.400,0,0,0
written-nogl3,3582,973.300,1864.200,205.800,61.200,0.200,0,0,0
written-nogl3,3583,966.700,1844.800,203.400,62.800,0.500,0,0,0
written-nogl3,3584,992.600,1763.100,178.400,63.500,0.400,0,0,0
written-nogl3,3585,954.800,1788.600,148.000,60.000,0.400,0,0,0
written-nogl3,3586,951.300,1752.600,149.500,65.400,1.000,0,0,0
written-nogl3,3587,1019.000,1676.600,124.200,61.900,0.300,0,0,0
written-nogl3,3588,995.800,1691.600,119.200,52.700,0.400,0,0,0
written-nogl3,3589,964.500,1645.500,114.400,55.800,0.400,0,0,0
written-nogl3,3590,943.700,1672.000,77.300,56.500,0.200,0,0,0
written-nogl3,3591,986.600,1615.900,76.800,51.500,0.400,0,0,0
written-nogl3,3592,965.300,1518.100,33.000,51.200,0.800,0,0,0
written-nogl3,3593,976.000,1521.200,27.500,53.100,0.800,0,0,0
written-nogl3,3594,1089.100,1648.200,17.500,64.200,0.600,0,0,0
written-nogl3,3595,979.400,1483.800,23.100,51.400,0.700,0,0,0
written-nogl3,3596,955.300,1469.700,14.400,52.600,0.600,0,0,0
written-nogl3,3597,964.500,1456.800,14.700,50.800,0.400,0,0,0
written-nogl3,3598,944.500,1438.200,15.300,46.700,0.300,0,0,0
written-nogl3,3599,945.000,1431.000,15.100,50.300,0.900,0,0,0
written-nogl3,3600,968.400,1422.200,14.700,47.300,0.300,0,0,0
written-nogl3,3601,979.000,1426.700,17.000,49.700,0.500,0,0,0
written-nogl3,3602,952.300,1411.300,13.100,49.400,0.400,0,0,0
written-nogl3,3603,947.000,1434.400,13.500,49.400,0.400,0,0,0
written-nogl3,3604,963.800,1382.900,17.100,47.000,0.300,0,0,0
